no,material,form,present_grs,ch,ancient_grs,x,unit_grs_printed,unit_grs,unit_to_tenth,correction,description
61,"Basalt, br.","44,100",570.7,,570.7,4,142.7,142.7,TRUE,,"The only weight with a name on it (see pl. xxii., fig. 100); strange to say, it has been broken off below, and ground down again to a flat bottom, rather roughly, and apparently adjusted to 4 kats. It was probably valued for the sake of the inscription, and therefore readjusted, after being accidentally broken. What its original weight was, is not clear; it is not likely that so little as a fifth of the whole was removed, looking to the traces of fracture and the present shallowness of the weight; yet it is not likely to have lost more than half its bulk, as it would have then been exceptionally high; hence it can hardly have been either 5 or 10 kats. It is a misfortune that this has been readjusted, as it is the only weight which shows its original age—that of Aahmes."
62,Limestone,38,1427.5,,1428.0,10,142.8,142.8,TRUE,,Very compact hard white limestone; fine work.
63,Alabaster,16—35,713.6,,714.0,5,142.8,142.8,TRUE,,"Merely a piece of a natural sheet of alabaster, trimmed round."
64,"Syenite, bl.",38,1428.0,,1428.6,10,142.9,142.9,TRUE,,
65,Syenite,27,285.8,,285.8,2,142.9,142.9,TRUE,,Same house as No. 13. Burnt.
66,Bronze,32—33,287.5,,286.0,2,143.0,143.0,TRUE,,
67,"Basalt, bl.",25—33,141.3,,143.0,1,143.0,143.0,TRUE,,
68,"Syenite, bl.",12—18,1431.0,,1431.0,10,143.1,143.1,TRUE,,
69,"Basalt, bl.",20,714.2,,715.7,5,143.1,143.1,TRUE,,
70,"Basalt, bl.",27—33,286.6,,286.6,2,143.3,143.3,TRUE,,
71,Syenite,27,719.1,,717.5,5,143.5,143.5,TRUE,,From a well filled with burnt earth in the middle of the S. part of the town. Probably about VIth cent. B.C. Burnt. (See No. 83.)
72,"Syenite, gn.",8,2872.8,,2872.8,20,143.6,143.6,TRUE,,
73,Limestone,27—30,143.7,,143.8,1,143.8,143.8,TRUE,,"Dark grey hard limestone, white vein on one side."
74,"Basalt, br.",27,287.3,,287.8,2,143.9,143.9,TRUE,,
75,"Basalt, bl.",26—27,143.9,,143.9,1,143.9,143.9,TRUE,,
76,"Basalt, br.",27,717.8,,719.9,5,144.0,144.0,TRUE,,
77,"Pyroxene, gn.",18,144.0,,144.0,1,144.0,144.0,TRUE,,Grey-green chatoyant pyroxene. Ptolemaic house W.N.W. of Great Temenos.
78,Bronze,43,76.2,4,72,1/2,144.,144,FALSE,,"Found with Nos. 161 and 165, at level 400; middle of Vth cent. B.C."
79,"Basalt, br.",27—33,1436.5,,1441,10,144.1,144.1,TRUE,,
80,"Syenite, bl.",19—39,7138,,7210,50,144.2,144.2,TRUE,,
81,"Basalt, bl.",33,288.4,,288.4,2,144.2,144.2,TRUE,,
82,"Basalt, bl.",25—33,2877.1,,2890,20,144.5,144.5,TRUE,,
83,"Basalt, br.",26—33,144.6,,144.5,1,144.5,144.5,TRUE,,Found with No. 71.
84,Sandstone,36,2891.9,,2893.,20,144.7,144.7,TRUE,,
85,Bronze,20—40,143.2,,144.7,1,144.7,144.7,TRUE,,
86,"Basalt, bl.",38—39,1448.6,,1448.9,10,144.9,144.9,TRUE,,
87,Syenite,23—27,289.7,,289.7,2,144.9,144.9,TRUE,,
88,Limestone,8—19,289.8,,289.8,2,144.9,144.9,TRUE,,"White limestone, with brown patch; hard."
89,Bronze,47,72.7,,72.5,1/2,145.,145,FALSE,,
90,"Basalt, br.",33—34,7243,,7248,50,145.0,145.0,TRUE,,Rough chipped around the sides.
91,"Basalt, br.",33,8292,B,14500,100,145,145,FALSE,,
92,"Basalt, br.",27,2600.1,B,2900,20,145,145,FALSE,,
93,"Granite, gr.",39,2826.5,,2890,20,145.0,145.0,TRUE,"Ancient: printed 2890, read as 2900 (unit 145.0 (sort-confirmed) needs 2900/20; print has 2890)",
94,"Bronze, bl.",52,27.2,2,29.0,1/5,145,145,FALSE,,
95,"Basalt, bl.",26—27,145.1,,145.1,1,145.1,145.1,TRUE,,See No. 35.
96,"Basalt, br.",33,6768,B,7270,59,145.4,145.4,TRUE,"x: printed 59, read as 50 (7270/50 = 145.4 as printed; no 59-ket denomination exists)",
97,"Porphyry, gr.",54,2907.0,,2907.5,20,145.4,145.4,TRUE,,"Minute felspathic crystals in a grey base, dense."
98,"Basalt, br.",37—38,727.0,,727.0,5,145.4,145.4,TRUE,,
99,"Hæmatite, bl.",11,727.2,,727.2,5,145.4,145.4,TRUE,,"Iron-black hæmatite, highly polished."
100,"Syenite, gr.",27,727.0,,727.0,5,145.4,145.4,TRUE,,
101,"Porphyry, gn.",81,727.6,,727.6,5,145.5,145.5,TRUE,,Pale green crystals in a dark green base; common in Roman times.
102,"Syenite, bl.",40—43,2908.3,,2912.,20,145.6,145.6,TRUE,,
103,"Basalt, br.",27—33,2913.3,,2915.,20,145.7,145.7,TRUE,,
104,"Basalt, bl.",18—19,2916.2,,2916.2,20,145.8,145.8,TRUE,,
