no,row,material,form,grs,x,unit_printed,unit_grs,correction,detail
3171,entry,BK.LIM.,,69.6,1/2,.2,139.2,,
3172,entry,DURITE,425,139.2,1,.2,139.2,,
3173,entry,BAS.,429,139.2,1,.2,139.2,,
3174,entry,ALAB.,338,695.9,5,.2,139.2,,
3175,entry,LIM.,913,2785.,20,.2,139.2,,NAQ.461 -6 PRE
3176,entry,BR.SY.,9,3480.9,25,.2,139.2,,
3177,entry,BR.SY.,439,6962.,50,.2,139.2,,
3178,entry,DURITE,64,139.3,1,.3,139.3,,"QU.""1/2"" XII"
3178,continuation,,,1392.8,10,.3,139.3,,SEE P
3179,entry,GY.SY.,369,6964.,50,.3,139.3,,
3180,entry,BK.SY.,348,6965.,50,.3,139.3,,
3181,entry,GY.SY.,353,13932.,100,.3,139.3,,
3182,entry,LIM.,BULL,27866.,200,.3,139.3,,phi XVI
3183,entry,BR.QTZITE,426,69630.,500,.3,139.3,,
3184,entry,ALAB.,256,69.7,1/2,.4,139.4,,
3185,entry,ALAB.,78,139.4,1,.4,139.4,,
3186,entry,BAS.,312,278.9,2,.4,139.4,,
3187,entry,ALAB.,28,278.9,2,.4,139.4,,
3188,entry,GY.QTZOSE,406,1393.8,10,.4,139.4,,
3189,entry,BR.SY.,387,6969.,50,.4,139.4,,
3189A,entry,BAS.,79,46.5,1/3,.5,139.5,,
3190,entry,HAEM.,499,46.5,1/3,.5,139.5,,
3191,entry,ALAB.,262,139.5,1,.5,139.5,,
3192,entry,BAS.,63,558.2,4,.5,139.5,,XII
3193,entry,BK.BAS.,497,697.4,5,.5,139.5,,XVIII
3194,entry,ALAB.,185,1395.5,10,.5,139.5,,MEM.
3195,entry,BAS.,348,27900.,200,.5,139.5,,
3196,entry,WT.QTZITE,18,27900.,200,.5,139.5,,
3197,entry,BK.QTZOSE,312,69.8,1/2,.6,139.6,,
3198,entry,BK.BAS.,395,69.8,1/2,.6,139.6,,
3199,entry,BAS.,344,139.6,1,.6,139.6,,
3200,entry,BAS.,364,697.9,5,.6,139.6,,MEM.
3201,entry,BAS.,381,2791.3,20,139.6,139.6,,
3202,entry,BAS.,656,2792.2,20,.6,139.6,,
3203,entry,BAS.,266,139.7,1,.7,139.7,,
3204,entry,BK.QTZ.,392,139.7,1,.7,139.7,,
3205,entry,BAS.,314,1397.1,10,.7,139.7,,
3206,entry,BK.BAS.,795,2794.,20,.7,139.7,,-18
3206,continuation,,,3491.5,25,.7,139.7,,SEE K
3207,entry,GY.SY.,235,13969.,100,.7,139.7,,
3208,entry,BAS.,397,46.6,1/3,.8,139.8,,
3209,entry,BK.BAS.,33,69.9,1/2,.8,139.8,,
3210,entry,BK.STEA.,4,139.8,1,.8,139.8,,
3211,entry,BAS.,262,279.7,2,.8,139.8,,
3212,entry,GY.SY.,312,279.7,2,.8,139.8,,
3213,entry,BAS.,265,699.0,5,.8,139.8,,
3214,entry,BAS.,373,699.0,5,.8,139.8,,
3215,entry,LIM.,203,699.0,5,.8,139.8,,
3216,entry,BAS.,190,1397.6,10,.8,139.8,,
3217,entry,BAS.,264,1398.4,10,.8,139.8,,
3218,entry,HAEM.,HIPPO HEAD,1398.4,10,.8,139.8,,NUBT XVIII phi X
3219,entry,QTZITE,368,6988.,50,.8,139.8,,
3220,entry,GY.QTZOSE,21,139.9,1,.9,139.9,,
3221,entry,BAS.,254,279.8,2,.9,139.9,,
3222,entry,QTZITE,237,13988.,100,.9,139.9,,
3223,entry,BK.Y.SERP,265,70.0,1/2,140.0,140.0,,
3224,entry,BAS.,446,140.0,1,.0,140.0,,
3225,entry,ALAB.,395,140.0,1,.0,140.0,,
3226,entry,BAS.,63,559.8,4,.0,140.0,,-1.6
3226,continuation,,,1400.,10,.0,140.0,,SEE P
3227,entry,BAS.,336,2799.3,20,.0,140.0,,
3228,entry,BAS.,202,2801.0,20,.0,140.0,,
3229,entry,RED PORPH.,465,140.1,1,.1,140.1,,
3230,entry,BAS.,369,280.2,2,.1,140.1,,
3231,entry,BAS.,428,1401.0,10,.1,140.1,,
3232,entry,BAS.,263,2802.4,20,.1,140.1,,
3233,entry,HAEM.,149,2802.9,20,.1,140.1,,
3234,entry,ALAB.,386,70.1,1/2,.2,140.2,,
3235,entry,RED HAEM.,802,140.2,1,.2,140.2,,XVIII
3236,entry,ALAB.,144,2803.8,20,.2,140.2,,
3237,entry,BAS.,328,2804.1,20,.2,140.2,,
3238,entry,BAS.,71,14018.,100,.2,140.2,,
3239,entry,LIM.,RAM,21277.,150,.2,140.2,"grs: printed 21277., read as 21027. (21277/150 = 141.9 breaks the unit sequence (140.2); 21027/150 = 140.2)",phi XVI
3240,entry,BAS.,344,701.5,5,.3,140.3,,
3241,entry,ALAB.,368,701.6,5,.3,140.3,,
3242,entry,BAS.,482,701.7,5,.3,140.3,,XVIII
3243,entry,BAS.,482,1402.8,10,.3,140.3,,XVIII
3244,entry,BAS.,392,1403.0,10,.3,140.3,,
3245,entry,HAEM.,498,280.8,2,.4,140.4,,XVIII
3246,entry,ALAB.,331,280.8,2,.4,140.4,,
3247,entry,BAS.,334,280.9,2,.4,140.4,,
3248,entry,BK.SY.,384,7022.,50,.4,140.4,,
3249,entry,GY.SY.,429,14039.,100,.4,140.4,,
3250,entry,HAEM.,657,140.5,1,.5,140.5,,XVIII
3251,entry,BAS.,27,281.0,2,.5,140.5,,
3252,entry,BAS.,27,281.0,2,.5,140.5,,
3253,entry,BAS.,406,281.1,2,.5,140.5,,MEM.
3254,entry,BAS.,192,1405.0,10,.5,140.5,,
3255,entry,LIM.,525,1405.5,10,.5,140.5,,
3256,entry,LIM.,442,28100.,200,.5,140.5,,-150
3257,entry,BK.JASP.,465,140.6,1,.6,140.6,,
3258,entry,BAS.,795,703.2,5,.6,140.6,,no. cell blank in print
3259,entry,BAS.,263,1405.8,10,.6,140.6,,
3260,entry,BAS.,395,1406.0,10,.6,140.6,,IIIII
3261,entry,BAS.,352,2812.7,20,.6,140.6,,
3262,entry,BAS.,425,281.5,2,.7,140.7,,
3263,entry,BAS.,452,281.5,2,.7,140.7,,
3264,entry,RED.QTZITE,11,28135.,200,.7,140.7,,
3265,entry,BK.STEA.,617,70.4,1/2,.8,140.8,,-.1
3266,entry,BAS.,33,281.7,2,140.8,140.8,,
3267,entry,BAS.,356,563.4,4,.8,140.8,,MEM.
3268,entry,BK.QTZ,11,2816.2,20,.8,140.8,,
3269,entry,BR.QTZITE,18,28160.,200,.8,140.8,,-5
3270,entry,ALAB.,275,140.9,1,.9,140.9,,
3271,entry,BAS.,429,704.4,5,.9,140.9,,
3272,entry,ALAB.,915,845.3,6,.9,140.9,,TARKHAN
3272,continuation,,,3522.8,25,.9,140.9,,SEE K
3273,entry,BAS.,144,47.0,1/3,141.0,141.0,,
3274,entry,Y.BK.SERP.,197,47.0,1/3,.0,141.0,,
3275,entry,Y.LIM.,49,47.0,1/3,.0,141.0,,
3276,entry,BAS.,57,70.5,1/2,.0,141.0,,
3277,entry,JADEITE,933,70.5,1/2,.0,141.0,,
3278,entry,BAS.,258,282.0,2,.0,141.0,,
3279,entry,ALAB.,406,282.1,2,.0,141.0,,
3280,entry,LIM.,486,564.1,4,.0,141.0,,
3281,entry,BK.QTZOSE,13,705.,5,.0,141.0,,-13
3282,entry,ALAB.,264,282.2,2,.1,141.1,,
3283,entry,BK.QTZOSE,654,1410.9,10,.1,141.1,,GHUROB XXII
3284,entry,GY.SILIC.,394,2821.3,20,.1,141.1,,
3285,entry,HAEM.,429,70.6,1/2,.2,141.2,,
3286,entry,HAEM.,499,70.6,1/2,.2,141.2,,
3287,entry,HAEM.,505,70.6,1/2,.2,141.2,,MERNPTH
3288,entry,HAEM LEAD,493,282.5,2,.2,141.2,,XVIII
3289,entry,HAEM.,499,282.5,2,.2,141.2,,TARTUS XVI
3290,entry,BAS.,268,705.9,5,.2,141.2,,
3291,entry,LIM.,937,5646.6,40,.2,141.2,,
3292,entry,BAS.,312,47.1,1/3,.3,141.3,,
3292A,entry,BAS.,368,47.1,1/3,.3,141.3,,MEM.
3293,entry,GY.BAS.,393,141.3,1,.3,141.3,,
3294,entry,BAS.,418,1413.1,10,.3,141.3,,
3295,entry,ALAB.,402,1413.5,10,.3,141.3,,MERNPTH
3295A,entry,GRN.STONE,64,4238.,30,.3,141.3,,ZET ABYD 121
3296,entry,BK.SY.,458,7066.,50,.3,141.3,,
3297,entry,BAS.,267,70.7,1/2,.4,141.4,,
3298,entry,HAEM.,487,141.4,1,.4,141.4,,
3299,entry,BAS.,358,706.8,5,.4,141.4,,
3300,entry,BAS.,23,707.2,5,.4,141.4,,MEM.
3301,entry,BAS.,38,707.3,5,.4,141.4,,
3302,entry,BAS.,419,2828.8,20,.4,141.4,,
3303,entry,GY.SY.,2,2828.9,20,.4,141.4,,
3304,entry,GY.SY.,392,2829.0,20,.4,141.4,,MEM.
3305,entry,BAS.,497,5655.0,40,.4,141.4,,IIII XVI
3306,entry,BK.QTZOSE,426,141.5,1,.5,141.5,,
3307,entry,BAS.,328,707.4,5,.5,141.5,,
3308,entry,GY.SY.,11,1414.6,10,.5,141.5,,
3309,entry,BK.BAS.,316,28300.,200,.5,141.5,,-17
3310,entry,GY.GRAN.,38,28300.,200,.5,141.5,,-40
3311,entry,BAS.,313,70.8,1/2,.6,141.6,,
3312,entry,HAEM.,494,283.2,2,.6,141.6,,XVI
3313,entry,GY.SY.,442,1415.9,10,.6,141.6,,-.4
3314,entry,BAS.,331,1416.0,10,.6,141.6,,
3315,entry,BAS.,435,1416.1,10,.6,141.6,,GHUROB
3316,entry,LIM.,16,1416.3,10,.6,141.6,,
3317,entry,BAS.DRILL CAP,358,7078.,50,.6,141.6,,
3318,entry,BAS.,368,7080.,50,.6,141.6,,
3319,entry,GY.BAS.,333,35400.,250,.6,141.6,,-2
3320,entry,BR.QTZITE,261,56650.,400,.6,141.6,,-80
3321,entry,BAS.,264,283.5,2,.7,141.7,,
3322,entry,GY.QTZOSE,418,1417.4,10,.7,141.7,,
3323,entry,BK.SY.,237,7083.,50,.7,141.7,,
3324,entry,PINK GRAN.,238,28350.,200,.7,141.7,,-150
3325,entry,GY.MARB.,426,567.1,4,.8,141.8,,
3325A,entry,HAEM.,8985,708.9,5,.8,141.8,,PIERCED
3326,entry,BAS.,369,709.1,5,.8,141.8,,
3327,entry,BAS.,11,709.1,5,.8,141.8,,
3328,entry,BAS.,442,709.1,5,.8,141.8,,
3329,entry,BR.SY.,378,1418.5,10,141.8,141.8,,
3330,entry,LIM.,498,1418.3,10,.8,141.8,,KARNAK XVIII
3331,entry,GY.QTZOSE,10,3545.8,25,.8,141.8,,XXIII
3332,entry,BK.QTZOSE,17,141.9,1,.9,141.9,,XVIII
3333,entry,GN.MARB,692,283.9,2,.9,141.9,,QUFT XII
3334,entry,BK.SY.,422,709.5,5,.9,141.9,,
3335,entry,BR.FLINT,428,709.6,5,.9,141.9,,
3336,entry,BR.SERP.,655,1418.8,10,.9,141.9,,
3337,entry,SY.,256,2839.0,20,.9,141.9,,
3337A,entry,BAS.,331,71.0,1/2,142.0,142.0,,starred
3338,entry,LIM.,33,284.0,2,.0,142.0,,
3339,entry,BAS.,393,284.1,2,.0,142.0,,
3340,entry,BAS.,358,710.1,5,.0,142.0,,
3341,entry,GY.SY.,406,710.1,5,.0,142.0,,
3342,entry,ALAB.,358,1419.7,10,.0,142.0,,
3342,continuation,,,3549.0,25,.0,142.0,,SEE K
3342,continuation,,,3549.6,25,.0,142.0,,SEE K ditto
3343,entry,PINK LIM.,653,5680.,40,.0,142.0,,QUFT cartouche
3344,entry,SANDST.,629,7102.,50,.0,142.0,,XII
3345,entry,BAS.,436,7102.,50,.0,142.0,,
3346,entry,HAEM.,494,710.7,5,.1,142.1,,XVIII
3347,entry,ALAB.,649,5683.,40,.1,142.1,,GHUROB XVIII
3347A,entry,ALAB.,311,23.7,1/6,.2,142.2,,MEM.
3348,entry,BAS.,263,47.4,1/3,.2,142.2,,
3349,entry,ALAB.,397,71.1,1/2,.2,142.2,,
3350,entry,GY.QTZ.,426,71.1,1/2,.2,142.2,,
3351,entry,BAS.,426,142.2,1,.2,142.2,,
3352,entry,ALAB.,265,284.5,2,.2,142.2,,
3353,entry,BAS.,324,284.5,2,.2,142.2,,
3354,entry,BAS.,225,710.8,5,.2,142.2,,
3355,entry,BK.JASP.,126,711.1,5,.2,142.2,,
3356,entry,BAS.,262,711.2,5,.2,142.2,,
3357,entry,BAS.,20,1422.5,10,.2,142.2,,
3358,entry,LIM.,265,2843.5,20,.2,142.2,,
3358,continuation,,,5686.5,40,.2,142.2,,SEE P
3359,entry,ALAB.,801,284.6,2,.3,142.3,,GHUROB XVIII
3360,entry,BK.SY.,2,1422.8,10,.3,142.3,,
3360A,entry,HARD LIM.,597,1423.5,10,.3,142.3,,ZET.ABYD.329
3361,entry,BK.SY.,333,7113.7,50,.3,142.3,,
3362,entry,GY.QTZOSE,315,7116.,50,.3,142.3,,
3363,entry,GY.SY.,642,71.2,1/2,.4,142.4,,V
3364,entry,BK.BAS.,287,142.4,1,.4,142.4,,
3365,entry,ALAB.,428,142.4,1,.4,142.4,,
3365A,entry,ALAB.,797,3560.6,25,.4,142.4,,
3366,entry,BK.QTZOSE,25,7120.,50,.4,142.4,,
3367,entry,ALAB.,23,47.5,1/3,.5,142.5,,
3368,entry,BAS.,264,142.5,1,.5,142.5,,MERNPTH
3369,entry,GY.SY.,245,1425.2,10,.5,142.5,,
3370,entry,FLINT,54,3563.2,25,.5,142.5,,XXIII
3371,entry,HAEM.,524,7126.,50,.5,142.5,,XVIII
3372,entry,BAS.,33,71.3,1/2,.6,142.6,,
3373,entry,BAS.,232,71.3,1/2,.6,142.6,,
3374,entry,BAS.,402,285.2,2,.6,142.6,,
3375,entry,GY.SY.,422,285.2,2,.6,142.6,,
3376,entry,BAS.,311,285.3,2,.6,142.6,,
3377,entry,BAS.,350,713.0,5,.6,142.6,,
3378,entry,BAS.,328,713.1,5,.6,142.6,,
3379,entry,BK.GY.LIM.,23,1425.7,10,.6,142.6,,
