No.,Material,Form,Present,Ch.,Ancient,x,Unit
498,Bronze,72,875.2,,868.0,20,43.4
499,Bronze,72,435.8,,435.5,10,43.5
500,Bronze,76,438.6,,436.0,10,43.6
501,Bronze,72,22.0.2,,220.,5,44.0
502,Bronze,72,2219.2,,2240.,50,44.8
503,Bronze,72,840.8,50,900.,20,45.0
504,Glass,,90.9,,90.9,2,45.5
505,Glass,,91.1,,91.1,2,45.6
506,Bronze,13-72,226.4,,229,5,45.8
507,Bronze,13-72,461.5,,460.0,10,46.0
508,Bronze,13-72,230.6,,230.0,5,46.0
509,Bronze,73,459.1,,460.0,10,46.0
510,Bronze,73,461.7,,461.5,10,46.1
511,Bronze,72,465.4,,463.0,10,46.3
512,Glass,,93.4,,93.4,2,46.7
513,Bronze,76,470.8,,468.0,10,46.8
514,Bronze,76,245.0,,244.5,5,48.9
515,Sandstone,33,"91,070",B,"174,000",,
516,Chalcedony,50,34.3,,34.3,,
