id,Material,Form,Present,Ch.,Ancient,x,Unit,Standard,Description
264,Bronze,57,261.1,NA,262.0,2,131.0,Assyrian Shekel,"From middle of E. side of town. Level 400. Middle of Vth cent. B.C. Shekel, because found with No. 241 of same form, which is three shekels, and also with No. 230, five shekels."
265,Bronze,frog,136.3,5,131.,1,131.,Assyrian Shekel,"Frog weight. Several frog weights are known in bronze and stone, but they do not seem to be all on the same standard; most of them are shekels, however. That they are weights seems likely from their never having been pierced or attached to any object, and from weights in the form of a frog being represented in sculptures. (See ""Archæological Journal,"" xl. 421.)"
266,"Basalt, bl.",33,7871-,NA,7872.,60,131.2,Assyrian Shekel,"Too fine in shape for an Attic weight, and certainly Assyrian by the multiple."
267,"Basalt, br.",80,657.7,NA,6583.,5,131.7,Assyrian Shekel,"Ovoid of the modified duck type, therefore probably Assyrian; an ovoid Attic (No. 320) is flattened on the top, not like this."
268,Bronze,63-66,132.2,7,132.,1,132.,Assyrian Shekel,"Too nearly cubic for Attic weights; and 268 found with Assyrian weights, Nos. 230, 241, 264, and 272. Level 400. Vth cent. B.C."
269,Bronze,51,33.0,1.5,33.0,½,132.0,Assyrian Shekel,"Too nearly cubic for Attic weights; and 268 found with Assyrian weights, Nos. 230, 241, 264, and 272. Level 400. Vth cent. B.C."
270,Bronze,57,29.5,3.5,33.,½,132.,Assyrian Shekel,"No Attic weights known of this type, which is Assyrian."
271,Bronze,51-52,26.8,NA,26.4,½,132.,Assyrian Shekel,"No Attic weights known of this type, which is Assyrian."
272,Bronze,66,339.5,12,334.,2,133.6,Assyrian Shekel,"Assyrian by the tapering form, and found with Nos. 230, 241, 264, and 268. Level 400. Vth cent. B.C."
273,Alabaster,58,639.0,NA,639.0,10,63.90,Attic Drachma,"Though this is a lower standard than any other Attic weight here, yet it is so precisely the proportions of the weights Nos. 288 and 323, the latter of which cannot be attributed to the Assyrian shekel, that it seems more likely, in the absence of any similar weight which is clearly Assyrian, that this class is all Attic. The style of this also, the rounding of the edges and bulging of the sides, is more Attic, and alabaster is rather commoner in Attic than in Assyrian weights."
274,Bronze,58,130.6,7.6,129,2,64.5,Attic Drachma,This is of the same class as the preceding.
275,Lead,64,126.0,11,129,2,64.5,Attic Drachma,"Lead, almost unknown in Assyrian weights, and therefore Attic."
276,Lead,60-69,656.7,130,647,10,64.7,Attic Drachma,"Lead, almost unknown in Assyrian weights, and therefore Attic."
277,"Syenite, bl.",27-33,1622.5,NA,1623.0,25,64.92,Attic Drachma,Attic by the multiple; 12½ shekels is never met with.
278,"Basalt, br.",27-40,3131.9,120,3250,50,65.0,Attic Drachma,Attic for the same reason.
279,Limestone,26,65.0,NA,65.0,1,65.0,Attic Drachma,"Of yellowish limestone, with purple-grey patches. A similar weight in form and colour is No. 357; and being probably both of one standard they must be Attic."
280,"Syenite, bl.",4-11,6495,NA,6502,100,65.02,Attic Drachma,"All Attic by multiples; 281 from Ptolemaic house on E. side of town, IIIrd cent. B.C.; find 93, with Nos. 13, 65, and 475."
281,Syenite,12-43,6511,NA,6519,100,65.19,Attic Drachma,"All Attic by multiples; 281 from Ptolemaic house on E. side of town, IIIrd cent. B.C.; find 93, with Nos. 13, 65, and 475."
282,"Basalt, br.",11,2607.6,NA,2608.6,40,65.21,Attic Drachma,"All Attic by multiples; 281 from Ptolemaic house on E. side of town, IIIrd cent. B.C.; find 93, with Nos. 13, 65, and 475."
283,"Basalt, br.",32,6523,NA,6529,100,65.29,Attic Drachma,"All Attic by multiples; 281 from Ptolemaic house on E. side of town, IIIrd cent. B.C.; find 93, with Nos. 13, 65, and 475."
284,Limestone,27-38,643.9,NA,653,10,65.3,Attic Drachma,"Hard white limestone, badly made, like No. 313. From this, and the form, probably Attic."
285,"Basalt, br.",27,1632.1,NA,1634.5,25,65.38,Attic Drachma,Attic by multiples.
286,Bronze,40,31.9,8,32.7,1,65.4,Attic Drachma,Attic by multiples.
287,"Basalt, br.",18-27,6512,NA,6547,100,65.47,Attic Drachma,Attic by multiples.
288,Bronze,58,1326.6,NA,1310,25,65.5,Attic Drachma,See 273.
289,"Basalt, bl.",19-27,262.3,NA,262.5,4,65.62,Attic Drachma,like 315 in form and colour; therefore Attic.
290,"Basalt, br.",11,2628.1,NA,2629,40,65.72,Attic Drachma,"Attic by multiples. We have now reached so far beyond the usual range of the shekels that weights should be attributed to the Attic standard, unless there is strong evidence for the Assyrian."
291,"Basalt, br.",19-27,6570.4,NA,6582,100,65.82,Attic Drachma,"Attic by multiples. We have now reached so far beyond the usual range of the shekels that weights should be attributed to the Attic standard, unless there is strong evidence for the Assyrian."
292,Limestone,39,6588.5,NA,6586?,100,65.86,Attic Drachma,"Attic by multiples. 292. Hard white limestone. A hole in the top is partly filled with lead; this was probably put in to adjust the weight; but it is possible that there was a handle leaded in, which is now lost. We have now reached so far beyond the usual range of the shekels that weights should be attributed to the Attic standard, unless there is strong evidence for the Assyrian."
293,"Basalt, bl.",30,658.8,NA,658.9,10,65.89,Attic Drachma,NA
294,Limestone,32-40,658.5,NA,659.0,10,65.90,Attic Drachma,Fine hard white limestone.
295,"Basalt, bl.",12-23,2631.5,NA,2637,40,65.92,Attic Drachma,NA
296,Limestone,12-11,2521.6,120,2640,40,56.00,Attic Drachma,"Fair white limestone, but powdery on surface."
297,Lead,62,64.7,50,66.0,10,66.0,Attic Drachma,NA
298,Lead,64-70,228.3,180,330,5,66.,Attic Drachma,NA
299,Limestone,38,390.0,NA,329.9,5,66.00,Attic Drachma,Fine hard white limestone.
300,Lead,63,153.5,50,133,2,66.,Attic Drachma,NA
301,"Basalt, bl.",38,132.0,NA,132.0,2,66.0,Attic Drachma,NA
302,Bronze,69,121.8,16,132,2,66.,Attic Drachma,NA
303,Bronze,34-37,134.2,NA,132,2,66.0,Attic Drachma,NA
304,"Syenite, gr.",3-12,5278.7,NA,5283,80,66.04,Attic Drachma,NA
305,"Syenite, bl.",36,6608,NA,6609,100,66.09,Attic Drachma,NA
306,Limestone,8,"198,280",NA,"198,300",3000,66.10,Attic Drachma,"Chiselled down to a flat surface below, and rough chipped to a fairly smooth curve above. Hard white limestone."
307,Syenite,36-37,6574,NA,6626.,100,66.26,Attic Drachma,NA
308,"Bronze, L.",26-27,1332.2,NA,1326,20,66.3,Attic Drachma,NA
309,Bronze,26,269.5,NA,265.5,4,66.37,Attic Drachma,NA
310,"Basalt, br.",18-38,1327.5,NA,1327.5,20,66.38,Attic Drachma,NA
311,"Basalt, br.",39,1657.9,NA,1660.,25,66.40,Attic Drachma,NA
312,"Syenite, gr.",37-38,2658.1,NA,2660.,40,66.50,Attic Drachma,NA
313,Limestone,18,659.7,NA,665,10,66.5,Attic Drachma,Soft white limestone.
314,"Basalt, bl.",26-27,133.0,NA,133.0,2,66.5,Attic Drachma,NA
315,"Basalt, br.",19,665.9,NA,666.3,10,66.63,Attic Drachma,NA
316,Lead,62,647.6,20,667,10,66.7,Attic Drachma,"The only leaden weight of the type so common at Alexandria; nearly all the lead of Naukratis is in thinner pieces, or flat sheets."
317,"Basalt, bl.",18,667.3,NA,667.8,10,66.78,Attic Drachma,NA
318,"Basalt, bl.",18,2665.7,NA,2673,40,66.82,Attic Drachma,NA
319,"Basalt, br.",26-28,1335.3,NA,1336.8,20,66.84,Attic Drachma,NA
320,"Syenite, gr.",77,6635,NA,6637,100,66.69,Attic Drachma,NA
321,"Basalt, bl.",18-37,6644,NA,6700,100,67.0,Attic Drachma,NA
322,"Basalt, bl.",12-40,1336.0,NA,1340,20,67.0,Attic Drachma,NA
323,Bronze,60,68.8,1.8,67.0,1,67.0,Attic Drachma,NA
324,"Syenite, gr.",11-38,2676.8,NA,2681.4,40,67.03,Attic Drachma,NA
325,Alabaster,23,132.1,NA,134.2,2,67.1,Attic Drachma,NA
326,Alabaster,38,134.2,NA,134.2,2,67.1,Attic Drachma,NA
327,"Basalt, br.",38,6719,NA,6719,100,67.19,Attic Drachma,NA
328,"Basalt, bl.",29,6680,NA,6735,100,67.35,Attic Drachma,NA
329,"Basalt, bl.",27-33,1671.9,NA,1684,25,67.36,Attic Drachma,NA
330,"Basalt, bl.",11-40,1347.3,NA,1347.3,20,67.36,Attic Drachma,NA
331,"Syenite, gn.",32,134.7,NA,134.7,2,67.4,Attic Drachma,NA
332,Bronze,90,331.1,NA,337,5,67.4,Attic Drachma,Looks more as if a mediæval piece.
333,Limestone,8-44,"201,380",NA,"202,400",3000,67.47,Attic Drachma,"Like 306, but under side a face of dressed building stone (?)."
334,"Basalt, bl.",23-27,3362.6,NA,3374,50,67.48,Attic Drachma,NA
335,Alabaster,12-43,6705,NA,6754,100,67.54,Attic Drachma,NA
336,"Basalt, bl.",33,3370.9,NA,3379,50,67.58,Attic Drachma,NA
337,"Basalt, br.",11-12,2707.8,NA,2708,40,67.70,Attic Drachma,NA
338,Limestone,"16, 03",671.4,NA,677,10,67.7,Attic Drachma,"Burnt white limestone, powdery. The X on the top may be the Roman numeral X."
339,Bronze,37,264.4,5.6,270,4,67.7,Attic Drachma,NA
340,Lead,68-70,265.3,26,271,4,67.7,Attic Drachma,NA
341,"Basalt, br.",18-27,1265.0,60,1355,20,67.75,Attic Drachma,NA
342,Bronze,26,44.8,NA,45.2,½,67.8,Attic Drachma,NA
343,"Syenite, br.",38,6796,NA,6797,100,67.97,Attic Drachma,NA
344,Alabaster,38,649.2,30,680,10,68.0,Attic Drachma,NA
345,Lead,70,40.7,7,34,½,68.,Attic Drachma,NA
346,"Basalt, bl.",38,136.1,NA,136.1,2,68.05,Attic Drachma,NA
347,"Basalt, bl.",23-27,1358.9,NA,1362.4,20,68.12,Attic Drachma,NA
348,"Basalt, bl.",23-27,2721.9,NA,2727.,40,68.17,Attic Drachma,NA
349,"Syenite, br.",11-38,681.2,NA,681.7,10,68.17,Attic Drachma,NA
350,"Basalt, bl.",11-38,681.4,NA,682.0,10,68.20,Attic Drachma,NA
351,Lead,68,273.2,8,273,4,68.2,Attic Drachma,NA
352,Limestone,26-29,681.3,NA,682.3,10,68.23,Attic Drachma,Hardish grey limestone.
353,Limestone,11-38,973.1,NA,978.1,4,68.93,Attic Drachma,"Fine hard white limestone, colour and form as 299."
354,Bronze,33,22.9,NA,22.8,½,68.4,Attic Drachma,"Attic, and not kat standard by the multiples."
355,"Basalt, bl.",25-27,6838,NA,6848,100,68.48,Attic Drachma,"Attic, and not kat standard by the multiples."
356,Bronze,12-25,130.5,6.5,137,2,68.5,Attic Drachma,Attic by the connection with No. 279.
357,Limestone,23-27,69.4,NA,69.4,1,69.4,Attic Drachma,Attic by the rounded form.
358,Bronze,25,23.9,4,24,½,72.,Attic Drachma,Attic by the multiples.
359,Bronze,26,12.7,3,12.4,⅓,74.4,Attic Drachma,Attic by the multiples.
360,Bronze,16.98,16.8,NA,16.7,½,200.4,Phonician Schekel,Phœnician by resemblance to 383.
361,"(Stone), bl.",56,1766.2,NA,1766.2,8,208.3,Phonician Schekel,"A very hard black silicate, taking a high polish; like Nos. 401, 435, and 451; all rectangular, two Phœnician, and two Æginetan."
362,"Basalt, bl.",20,17.4,NA,17.4,¼,208.8,Phonician Schekel,NA
363,"Basalt, bl.",16,4144.8,NA,4190,20,209.5,Phonician Schekel,NA
364,Bronze,26-33,65.9,65,105,½,210,Phonician Schekel,NA
365,Alabaster,35,78.7,31,105,½,210,Phonician Schekel,NA
366,Alabaster,25,105.4,NA,105.6,½,211.2,Phonician Schekel,NA
367,Bronze,25,26.4,4.,26.4,⅛,211.2,Phonician Schekel,NA
368,Sandstone,2-11,"51,040",NA,"51,100",240,212.9,Phonician Schekel,"Browny-white quartzite; rough in shape, with a hollow in the top."
369,Bronze,24-26,436.1,10,426.,2,213.,Phonician Schekel,NA
370,Bronze,25,110.4,3.4,107,½,214.,Phonician Schekel,NA
371,Marble,65,831.6,30,860,4,215.,Phonician Schekel,"White marble, crumbly."
372,Bronze,33,52.9,NA,54.1,¼,216.4,Phonician Schekel,NA
373,Bronze,65,170.9.5,NA,1740,8,217.5,Phonician Schekel,NA
374,"Basalt, bl.",33,27.2,NA,27.2,⅛,217.5,Phonician Schekel,NA
375,"Basalt, br.",11-19,435.2,NA,435.2,2,217.6,Phonician Schekel,NA
376,Bronze,36,190.7,57,218,1,218,Phonician Schekel,NA
377,Bronze,36,20.2,2,18.2,¼,218.4,Phonician Schekel,Found in loose stuff over the scarab factory.
378,Bronze,25,112.0,2.5,109.5,½,219.,Phonician Schekel,NA
379,Lead,86,2521.8,320,2200,10,220,Phonician Schekel,Found just inside the E. wall of the temenos of the Dioskouroi. Vth cent. B.C. (?).
380,Limestone,5,442.7,NA,442.7,2,221.3,Phonician Schekel,"Brownish-grey limestone pebble, ground flat below; like 227, but browner."
381,Bronze,21-35,230.4,17,222.,1,222.,Phonician Schekel,NA
382,Bronze,57,7.0,2,7.0,1,222.,Phonician Schekel,NA
383,Bronze,"25, 97",18.7,NA,18.5,⅟₁₂,222.,Phonician Schekel,NA
384,Bronze,64-67,223.8,NA,223.,1,223.,Phonician Schekel,NA
385,"Basalt, bl.",42-46,4410.0,NA,4470.,20,223.5,Phonician Schekel,NA
386,"Granite, red",5,"53,980",NA,"54,130",240,225.4,Phonician Schekel,"Looks much like a piece of a granite corn-rubber, trimmed down at the ends, and rounded."
387,"(Stone), bl.",7,5646,NA,5658,25,226.3,Phonician Schekel,NA
388,Alabaster,23,2646.9,B,4550,20,227.5,Phonician Schekel,NA
389,Bronze,25,61.0,4,57.,¼,228.,Phonician Schekel,From burnt potter's rubbish in N. town. Level 300. VIth cent. B.C.
390,Bronze,40,54.3,3,57.,¼,228.,Phonician Schekel,NA
391,"Syenite, bl.",3,182.4,NA,1825.,8,228.1,Phonician Schekel,NA
392,"Basalt, bl.",27-40,457.0,NA,457.0,2,228.5,Phonician Schekel,NA
393,Alabaster,20-40,227.0,NA,228.5,1,228.5,Phonician Schekel,NA
394,Bronze,18-38,38.8,NA,38.3,⅙,229.8,Phonician Schekel,NA
395,Bronze,25,112.5,3,115?,½,230?,Phonician Schekel,NA
396,"Syenite, bl.",4,5697.5,NA,5770,25,230.8,Phonician Schekel,NA
397,Bronze,66,230.3,10,231.,1,231.,Phonician Schekel,Found with Assyrian weights. (See 268.) Level 400. Vth cent. B.C.
398,Bronze,66,80.8,4,77.0,⅓,231.,Phonician Schekel,NA
399,Bronze,33,39.5,1,38.5,⅙,231.,Phonician Schekel,"Very peculiar form, as if two barrel weights conjoined."
400,Limestone,37,115.6,NA,115.6,½,231.2,Phonician Schekel,Hard polished white limestone (or magnesite?) flawed.
401,"(Stone), bl.",65,924.9,NA,926.2,4,231.6,Phonician Schekel,See No. 361.
402,Bronze,58,121.0,5,116.,½,232,Phonician Schekel,NA
403,Bronze,"66, 96",131.9,16,116.,½,232,Phonician Schekel,NA
404,Limestone,18,231.7,NA,232.9,1,232.9,Phonician Schekel,"White limestone, like Nos. 203, 204, 253."
405,"Syenite, gr.",42-46,4649.5,NA,4676,20,233.8,Phonician Schekel,NA
406,Bronze,23-33,1145.0,32,1170,5,234.0,Phonician Schekel,NA
407,Lead,61-65,232.9,15,234,1,234.,Phonician Schekel,NA
408,Bronze,26,125.7,9,117,½,234.,Phonician Schekel,NA
409,Limestone,44,584.8,NA,585.6,2½,234.2,Phonician Schekel,Hard white limestone.
410,Bronze,33-37,250.3,15,235.,1,235.,Phonician Schekel,NA
411,Bronze,33-37,231.6,NA,235,1,235.,Phonician Schekel,NA
412,"Basalt, br.",23,"10,088",B,"11,800",50,236.0,Phonician Schekel,NA
413,Alabaster,23-27,2748.7,B,"11,850",50,237.,Phonician Schekel,NA
414,Bronze,66,82.6,3.6,79.0,⅓,237.,Phonician Schekel,NA
415,Lead,62-68,328.3,100,350,4,87.5,Phonician Schekel,NA
416,Bronze,26-33,353.5,NA,351,4,87.6,Phonician Schekel,NA
417,Bronze,62-70,180.9,4,177,2,88.5,Phonician Schekel,NA
418,"Bronze, L.",33,570.0,42,537,6,89.5,Phonician Schekel,A remarkable example of a bronze case with less than one-sixth filled with lead.
419,Limestone,43,451.1,NA,45.1,½,90.2,Phonician Schekel,Hard browny-white limestone.
420,Bronze,89,50.3,4,460,½,92.0,Phonician Schekel,NA
421,Lead,60,215.6,80,185,2,92.5,Phonician Schekel,NA
422,Marble,15,1116.0,NA,1116.0,12,93.0,Phonician Schekel,White saccharine marble.
423,Bronze,33-40,379.0,9,376.,4,94.0,Phonician Schekel,NA
424,Bronze,33-37,101.1,7,94.,1,94.,Phonician Schekel,NA
425,Limestone,15,188.2,NA,188.5,2,94.3,Phonician Schekel,Softish grey limestone.
426,Limestone,15,94.7,NA,94.7,1,94.7,Phonician Schekel,"Harder grey-brown limestone; these four disc weights (422, 425 to 427), closely agreeing is remarkable, as the type does not occur again."
427,"Syenite, gr.",12-15,23.7,NA,23.7,¼,94.8,Phonician Schekel,NA
428,Bronze,24,768.1,NA,760.,8,95.0,Phonician Schekel,NA
429,"Basalt, bl.",33,47.5,NA,47.5,½,95.0,Phonician Schekel,NA
430,"Basalt, bl.",32,"23,770",NA,"23,770",250,95.1,Phonician Schekel,NA
431,"Basalt, bl.",20,23.8,NA,23.8,¼,95.2,Phonician Schekel,NA
432,"Basalt, bl.",26-27,"23,860",NA,"23,830",250,95.5,Phonician Schekel,NA
433,"Basalt, bl.",38-39,573.5,NA,673.5,6,95.6,Phonician Schekel,NA
434,"Syenite, gr.",84,48.0,NA,48.0,½,96.0,Phonician Schekel,"Black and white syenite, like No. 2, &c."
435,"(Stone), bl.",87,776.7,NA,77.2,8,97.1,Phonician Schekel,See 361.
436,Bronze,38,49.2,NA,48.7,½,97.4,Phonician Schekel,NA
437,Bronze,33-40,391.0,NA,390.,4,97.5,Phonician Schekel,NA
438,Bronze,34-37,400.1,26,390.,4,97.5,Phonician Schekel,NA
439,Lead,60,3820.8,99,390.5,40,97.6,Phonician Schekel,NA
440,Bronze,32-34,391.5,NA,390.5,4,97.6,Phonician Schekel,NA
441,"Basalt, br.",27,4882.8,NA,4883,50,97.7,Phonician Schekel,NA
442,"Basalt, bl.",32-33,779.3,NA,781.5,8,97.7,Phonician Schekel,NA
443,"Syenite, gr.",9-10,4879.6,NA,4890,50,97.8,Phonician Schekel,NA
444,Limestone,1-41,780.1,NA,783.0,8,97.9,Phonician Schekel,Very soft white limestone.
445,"Basalt, bl.",9,3917.6,NA,3917.6,40,97.9,Phonician Schekel,NA
446,"Bronze, L.",25,397.7,NA,392.,4,98.0,Phonician Schekel,NA
447,"Bronze, L.",26-27,394.8,NA,392.,4,98.0,Phonician Schekel,NA
448,Alabaster,23,3877.0,NA,3925,40,98.1,Phonician Schekel,NA
449,"Basalt, bl.",27-33,786.4,NA,787.5,8,98.4,Phonician Schekel,NA
450,Alabaster,58,787.1,NA,790.,8,98.7,Phonician Schekel,NA
451,"(Stone), bl.",65,797.4,NA,798.0,8,99.7,Phonician Schekel,See 361.
452,"Basalt, br.",38-39,5960.2,200,6160,80,77.0,Eighty Grain,NA
453,"Basalt, br.",33,3094.9,NA,3098.5,40,77.5,Eighty Grain,NA
454,"Basalt, br.",17-26,77.6,NA,77.6,1,77.6,Eighty Grain,NA
455,Limestone,22,155.1,NA,155.3,2,77.6,Eighty Grain,Hard greyish-white limestone.
456,"Basalt, bl.",10-40,6148,NA,6230,80,77.9,Eighty Grain,NA
457,Bronze,10-37,94.3,16,78.,NA,78.,Eighty Grain,NA
458,"Syenite, bl.",10,3124.0,NA,3125.0,40,78.1,Eighty Grain,NA
459,"Syenite, gr.",55,1954.1,NA,1956.0,25,78.2,Eighty Grain,NA
460,"Syenite, gr.",25-33,6264.0,NA,6264,80,78.3,Eighty Grain,NA
461,"Syenite, gr.",85,3135.5,NA,3135.5,40,78.4,Eighty Grain,"This very strange block has been hollowed out with a conical hole in the top; this hole is picked, and not ground, except just at the edge; hence it cannot be the head-piece for a bow-drill. It is possibly intended to hold a metal weight."
462,"Basalt, br.",27,3129.3,NA,3137.,40,78.4,Eighty Grain,NA
463,Bronze,20-33,161.4,4,157,2,78.5,Eighty Grain,NA
464,Limestone,38,3145.9,NA,3152,40,78.8,Eighty Grain,Hard browny-white limestone.
465,"Syenite, bl.",15-16,315.7,NA,315.7,4,78.9,Eighty Grain,NA
466,Bronze,91,314.0,NA,316.,4,79.0,Eighty Grain,NA
467,Basalt,29-32,6282.,NA,6328.,80,79.1,Eighty Grain,NA
468,Lead,60,2230.6,150,2380,40,79.3,Eighty Grain,NA
469,"Basalt, br.",12,2370.9,NA,2381,40,79.4,Eighty Grain,NA
470,"Bronze, L.",19-27,815.9,20,795,10,79.5,Eighty Grain,NA
471,Alabaster,21,79.5,NA,79.5,1,79.5,Eighty Grain,NA
472,"Basalt, bl.",19-27,1594.8,NA,1595.1,20,79.7,Eighty Grain,NA
473,"Basalt, bl.",20-43,39.9,NA,39.9,½,79.8,Eighty Grain,NA
474,Alabaster,12-14,1344.7,B,2000,25,80.0,Eighty Grain,NA
475,"Basalt, bl.",23-33,1595.6,NA,1600.2,20,80.0,Eighty Grain,"Finely worked, and with a hole in the bottom for adjustment by lead plugging. Found in Ptolemaic house on E. side of town, IIIrd cent. B.C., with Nos. 13, 65, 281, and 489. Find 93."
476,Lead,16,198.3,4,200,2½,80.0,Eighty Grain,NA
477,Limestone,33-37,3204.1,NA,3210.,40,80.2,Eighty Grain,Hard white limestone.
478,"Glass, gn.",38-44,80.3,NA,80.3,1,80.3,Eighty Grain,NA
479,Bronze,"60, 94",239.7,NA,241.,3,80.3,Eighty Grain,"The three marks on this weight (see fig. 94) are inlaid with silver, and the weight is of fine work. There is a square bronze weight in Brit. Mus., from Egypt, marked T Θ H, which weighs 176.2. If it were divided by 9 (in accordance with the Θ) there would be a unit of 19.6, which might go 12 times in 241; but such a unit would not agree with any standard, unless it were one-fourth of the 80-grain standard, to which this is already classed."
480,"Basalt, bl.",33-37,160.8,NA,160.9,2,80.4,Eighty Grain,NA
481,"Syenite, gr.",38-40,4022.7,NA,4025.,50,80.5,Eighty Grain,NA
482,"Basalt, bl.",38,80.7.5,NA,8038.0,10,80.8,Eighty Grain,NA
483,"Syenite, gr.",7-10,8083.,NA,8092.,100,80.9,Eighty Grain,NA
484,Limestone,8-41,2019.6,NA,2026,25,81.0,Eighty Grain,Soft white limestone; roughly shaped.
485,"Syenite, gr.",55,2035.5,NA,2038.5,25,81.5,Eighty Grain,NA
486,Alabaster,14,1764.8,B,8200,100,82.,Eighty Grain,NA
487,"Basalt, br.",26-33,"125,930",B,"248,000",3000,82.7,Persian Silver Siglos,NA
488,Lead,60,502.8,60,500,6,83.3,Persian Silver Siglos,NA
489,Lead,60-69,4110.5,900,5000,60,83.3,Persian Silver Siglos,"Found with Nos. 13, 65, 281, and 475 in Ptolemaic house of IIIrd cent. B.C. Find 93."
490,"Syenite, br.",27-33,"10,177",NA,"10,198",120,85.0,Persian Silver Siglos,NA
491,"Syenite, gr.",55,2124.1,NA,2137.0,25,85.1,Persian Silver Siglos,NA
492,"Basalt, gn.",8,5155,NA,5155,60,85.9,Persian Silver Siglos,NA
493,"Syenite, gr.",9-54,2161.8,NA,2164,25,86.6,Persian Silver Siglos,NA
494,Bronze,"61, 99",205.0,NA,204.0,½,408.0,Roman Uncia,"The two marked on this refers prpbably to its being half of the uncia; compare similar marks for fractions on Assyrian lion weights, and the numeration of Triens, Quadrans, Quincunx, and Sextans."
495,Bronze,71,124.8,NA,123.5,3,411.6,Roman Uncia,This is a type of form very usual in black stone weights. (See Brit. Mus.)
496,Bronze,71,414.8,NA,414.0,1,414.0,Roman Uncia,NA
497,Bronze,71-74,416.1,NA,415.0,1,415.0,Roman Uncia,NA
498,Bronze,72,875.2,NA,868.0,20,43.4,Arabic Dirhem,"This type of weight has never been attributed yet; such weights are placed among the unclassed at Bulak, and are unlabelled in the British Museum. As this type is commonly to be met with in the bazaars of Cairo in use, and not showing any signs of great age, and as none of the weights of this type show such signs as Ptolemaic and earlier weights show, it seems clear that they are Cufic and Arabic. As, further, the unit of them is exactly the dirhem, and wukiyeh of 10 dirhems, there cannot remain any doubt on the question."
499,Bronze,72,435.8,NA,435.5,10,43.5,Arabic Dirhem,NA
500,Bronze,76,438.6,NA,436.0,10,43.6,Arabic Dirhem,"These discs are of a curious type; they agree to the wukiyeh, they do not show any sign of great age, and disc weights are in common use among the Arabs now."
501,Bronze,72,22.0.2,NA,220.,5,44.0,Arabic Dirhem,NA
502,Bronze,72,2219.2,NA,2240.,50,44.8,Arabic Dirhem,NA
503,Bronze,72,840.8,50,900.,20,45.0,Arabic Dirhem,NA
504,Glass,NA,90.9,NA,90.9,2,45.5,Arabic Dirhem,NA
505,Glass,NA,91.1,NA,91.1,2,45.6,Arabic Dirhem,NA
506,Bronze,13-72,226.4,NA,229,5,45.8,Arabic Dirhem,NA
507,Bronze,13-72,461.5,NA,460.0,10,46.0,Arabic Dirhem,NA
508,Bronze,13-72,230.6,NA,230.0,5,46.0,Arabic Dirhem,NA
509,Bronze,73,459.1,NA,460.0,10,46.0,Arabic Dirhem,NA
510,Bronze,73,461.7,NA,461.5,10,46.1,Arabic Dirhem,NA
511,Bronze,72,465.4,NA,463.0,10,46.3,Arabic Dirhem,NA
512,Glass,NA,93.4,NA,93.4,2,46.7,Arabic Dirhem,"This is one of the latest class of glass weights, with the flowing Arab script, instead of the Cufic. These glass weights, and Arab weights in general, were many of them bought of travelling dealers at Nebireh market, and none of them belong to the site of Naukratis."
513,Bronze,76,470.8,NA,468.0,10,46.8,Arabic Dirhem,"These discs are of a curious type; they agree to the wukiyeh, they do not show any sign of great age, and disc weights are in common use among the Arabs now."
514,Bronze,76,245.0,NA,244.5,5,48.9,Arabic Dirhem,NA
515,Sandstone,33,"91,070",B,"174,000",NA,NA,Uncertain,NA
516,Chalcedony,50,34.3,NA,34.3,NA,NA,Uncertain,NA
