no;material;form;grs;x;unit;detail
3646;BAS.;33;2942.7;20;147.1;
3647;BK.QTZOSE;333;2943.0;20;.1;
3648;GY.SY.;331;73.6;1/2;.2;
3648A;GOLD;RING;147.2;1;.2;
3649;BAS.;261;147.2;1;.2;
3650;BAS.;275;735.9;5;.2;MEM.
3651;BAS.;498;1471.6;10;.2;XVIII
3652;BR.QTZITE;55;2944.3;20;.2;
;;;5890.;40;.2;SEE P
3653;LIM.;262;7360.;50;.2;
3654;BAS.;33;1473.4;10;.3;
3655;BR.SY.;429;2945.2;20;.3;
3656;ALAB.;256;73.7;1/2;.4;
3657;GY.SY.;331;147.4;1;.4;
3658;HAEM.+LEAD;493;294.9;2;.4;TARTUS XVIII
3659;GY.SY.;275;294.9;2;.4;
3660;GY.SY.;369;1474.4;10;.4;
3661;BAS.;265;2948.3;20;.4;
;;;5898.;40;.4;SEE P
3662;BK.QTZOSE;9;7368.;50;.4;
3663;BK.BAS.;256;29475.;200;.4;-2
3664;BAS.;428;147.5;1;.5;
3665;BAS.;344;295.0;2;.5;
3666;GY.SY.;57;737.3;5;.5;QUFT XII
3667;BAS.;387;1474.6;10;.5;
3668;BK.QTZOSE;375;14753.;100;.5;
3669;BAS.;264;49.2;1/3;.6;
3670;BAS.;328;147.6;1;.6;
3671;GY.SY.;325;1476.0;10;.6;
3672;BAS.;27;1476.2;10;.6;
3672A;LIM.;645;2214.3;15;.6;ZET ABYD 30
3673;ALAB.;653;2952.4;20;.6;IIII KAHUN
3674;ALAB.;33;295.4;2;.7;
3675;GY.BAS.;422;295.4;2;.7;
3676;BK.JASP.;698;591.0;4;.7;V
3677;HAEM.;885;738.6;5;.7;MARATHUS
3678;BAS.;350;1477.1;10;.7;
3679;BAS.;368;2954.9;20;.7;
;;;3691.4;25;.7;SEE K
3680;RED SY.;261;59100.;400;.7;
3681;BAS.;338;739.2;5;.8;
;;;3694.5;25;.8;SEE K
3682;HAEM.;499;295.8;2;.9;XVIII
3683;BAS.;265;295.9;2;.9;
3684;BAS.;448;295.9;2;.9;
3685;BK.SY.;285;295.9;2;.9;
3686;DIORITE;82;1479.6;10;.9;GIZEH V
3687;BK.QTZOSE;63;5918.;40;.9;XXIII
3687A;BK.QTZOSE;611;7396.;50;.9;ZET ABYD 46
3688;BAS.;331;74.0;1/2;148.0;
3689;BAS.;314;296.0;2;.0;
3690;BAS.;11;740.0;5;.0;
3691;BAS.;261;740.1;5;.0;
3692;ALAB.;406;740.2;5;.0;
3693;BAS.;285;1480.3;10;.0;
3694;BAS.;802;2959.9;20;.0;
3694A;WT.LIM.;692;2960.;20;.0;AMENEMHAT III -500
3695;GY.QTZOSE;11;148.1;1;.1;
3696;Y.BK.SERP.;263;1481.0;10;.1;
;;;5926.5;40;.1;SEE P
3697;GY.BAS.;314;29620.;200;.1;
3698;GY.BAS.;271;29615.;200;.1;-3
3699;BAS.;252;74.1;1/2;.2;
3700;BK.PORPHY;8;148.2;1;.2;
3701;BK.SY.;393;148.2;1;.2;
3702;GY.SY.;327;296.5;2;.2;
3703;BAS.;202;593.2;4;.3;
