no;material;form;grs;x;unit;detail
;;;604.3;4;151.0;SEE P
3827;ALAB.;803;604.0;4;.0;GEBELEYN
3828;BAS.;427;302.3;2;.1;
;;;3776.3;25;.1;SEE K
3829;RED SY.;314;30220.;200;.1;rough
3830;BAS.;268;75.6;1/2;.2;
3831;QTZ.CRYST.;33;75.6;1/2;.2;
3832;BK.QTZ.;373;1511.8;10;.2;
3833;RED QTZITE;558;3023.6;20;.2;
3834;GY.QTZOSE;437;3023.8;20;.2;
3835;ALAB.;483;302.6;2;.3;XVIII
3836;BAS.;165;756.3;5;.3;
3837;BK.QTZ.;DRILL CAP;3027.4;20;.3;
;;;3783.5;25;.3;SEE K
3838;Y.LIM.;653;22700.;300;.3;KAHUN -600 XI cartouche
3839;BAS.;265;302.8;2;.4;
3840;BAS.;271;757.1;5;.4;
3841;SY.;364;1514.2;10;.4;
3842;GY.SY.;353;75720.;500;.4;
3843;HAEM.;1;151.5;1;.5;
3844;HAEM.;493;151.5;1;.5;XVIII
3845;FLINT;486;151.5;1;.5;XVIII
3846;RED SY.;258;6060.;40;.5;
3847;ALAB.;152;151.6;1;.6;KAHUN
3848;BAS.;265;151.7;1;.7;
3849;BAS.;425;758.6;5;.7;
3850;BK.STEA.;295;1517.0;10;.7;
3851;LIM.;465;60680.;400;.7;rough
3852;BAS.;331;303.6;2;.8;
3853;ALAB.;258;303.6;2;.8;
3854;BR.MARB.;744;303.6;2;.8;A
3855;BAS.;337;151.9;1;.9;
3856;HAEM.;494;303.9;2;.9;TARTUS XVIII
3857;BAS.;275;303.9;2;.9;
3858;GY.PORPH.;10;759.5;5;.9;
3859;BAS.;426;3038.4;20;.9;
3860;BAS.;263;3039.3;20;.9;
3861;BAS.;238;6078.;40;.9;
3862;BAS.;11;607.9;4;152.0;
3863;RED SY.;33;30400.;200;.0;
3864;GY.SY.;323;30402.;200;.0;
3865;ALAB.;313;304.2;2;.1;
3866;GY.SY.;33;76.1;1/2;.2;
3867;BAS.;331;152.2;1;.2;
3867A;ALAB.;4952;913.0;6;.2;
;;;608.7;4;.2;SEE P
3868;GY.STEA.;653;1522.;10;.2;-4 V
3869;GY.SY.;33;76100.;500;.2;
3870;SERP.;65;1522.7;10;.3;-4.4 XI
;;;6093.;40;.3;SEE P
3871;GY.SY.;33;50.8;1/3;.4;
3872;GY.SY.;191;6097.;40;.4;
3872A;SANDSTN;605;3050.;2;.5;DEN ABYD 2A
3873;BAS.;395;305.1;2;.5;
3874;GY.SY.;334;76272.;500;.5;
3875;RED SY.;12;6121.;40;153.0;
3876;Y.LIM. LEAD PLUG;803;6140.;40;.5;HELIOPOLIS -140
