no;form;now;ch;original;x;unit;detail
4978;324;141.5;4.8;137.;1;137.;
d;337;690.3;10;686;5;.2;
4979;26;69.6;.7;69.;1/2;138.;
d;344;141.1;3.;138.;1;;
4980;335;684.2;10.;690;5;;
4981;33;66.6;4.3;69.;1/2;;O mark
4982;326;696.8;9.7;694.3;5;.9;LEAD FILLING
d;32;148.5;9.;139.;1;139.;
4983;494;140.0;1.;139.;1;;
4984;235;136.0;2.8;139.;1;;
4985;262;272.7;7.5;278;2;;TREASURY glyph
4986;FROG;277.2;2.3;278;2;;
4987;338;699.5;3.;696;5;.2;
d;265;692.4;8.;696;5;.2;
4988;262;47.1;.7;46.5;1/3;.5;
4989;26;281.5;12.;279;2;;
4990;338;280.8;2;279;2;;
4991;LION;27866.;30;27900;200;;LIM.
4992;339;140.4;2.6;140;1;140.0;
4993;334;140.5;2.6;140;1;;
d;338;150.7;11.;140;1;;
d;338;281.7;5.;280;2;;
d;33;299.7;20.;280;2;;
4994;265;672.8;30.;700;5;;
d;324;692.4;12.;700;5;;
4995;334;702.8;3.;700;5;;DEFENEH
d;324;708.0;18.;702;5;140.4;
4996;333;281.7;5.;281;2;.5;
4997;331;46.8;1.2;47;1/3;141.;
4998;623;47.1;.5;47;1/3;;LEAD
4999;428;140.5;2.1;141;1;;
d;324;143.5;3.6;141;1;;
d;23;146.1;5.2;141;1;;
d;338;138.0;15.;141;1;;
d;33;149.6;8.7;141;1;;MEM.
5000;23;280.2;2.;282;2;;
5001;366;282.0;6.;282;2;;
5002;884;711.4;5.;706;5;141.2;LEAD
5003;262;713.9;15.;707;5;.4;LEAD FILLING
5004;643;284.5;1.2;283;2;.5;
d;356;704.5;9.;708;5;.6;
5005;33;73.0;3.;71;1/2;142.;X
d;338;73.7;3.;71;1/2;;
5006;337;142.5;2.5;142;1;;
5007;337;142.5;2.6;142;1;;
d;338;143.5;1.2;142;1;;
5008;364;283.6;4.;284;2;;
5009;324;287.6;3.;284;2;;
d;366;288.0;10.;284;2;;
5010;;692.4;17.;710;5;;
5011;324;699.7;10.;710;5;;
d;338;1430.1;9.;1421;10;.1;
5012;327;718.0;7.;711;5;.2;
d;337;720.3;8.;712;5;.4;
d;324;729.0;17.;712;5;.4;
d;334;283.0;9.;285;2;.5;
d;366;288.0;5.;285;2;.5;
5013;333;710.2;6.;714;5;.8;
d;33;72.7;1.2;71.5;1/2;143.0;
d;338;145.6;2.2;143;1;;
5014;;144.5;3.7;143;1;;LEAD
5015;74;142.9;.1;143;1;;BK.STEA.
5016;366;285.4;3.;286;2;;
