no;material;form;grs;x;unit;detail
3582;ALAB.;335;73.1;1/2;146.2;
3583;BAS.;262;146.2;1;.2;
3584;BAS.;344;292.4;2;.2;DEFENNEH
3585;BAS.;426;292.5;2;.2;
3586;MALACHITE;352;585.;4;.2;-4.5
3587;BAS.;422;730.9;5;.2;
3588;BAS.;258;731.2;5;.2;MEM.GLASS
3589;GY.SY.;426;731.1;5;.2;
3590;LIM.;397;29250.;200;.2;-70
3591;BAS.;254;146.3;1;.3;
3592;GY.STEA.;657;292.7;2;.3;QUFT XII
3593;GY.SY.;393;292.7;2;.3;
3594;BAS.;11;438.9;3;.3;caret mark
3595;BAS.;337;1463.3;10;.3;
3596;DURITE;425;2925.4;20;.3;
3597;BAS.;393;73.2;1/2;.4;
3598;GLZD QTZ.;384;73.2;1/2;.4;
3599;BAS.;126;732.2;5;.4;QUFT
3600;BAS.;338;2928.2;20;.4;
3601;BK.QTZ.;55;2928.4;20;.4;
3602;GY.SY.;642;7319.7;50;.4;XII
3603;BK.LIM.;267;732.5;5;.5;-.5
3604;BAS.;265;2930.1;20;.5;
3605;GY.SY.;392;7323.;50;.5;
3606;GY.BAS.;328;29300.;200;.5;
3607;GY.SY.;16;73.3;1/2;.6;
3608;BAS.;254;293.2;2;.6;
3609;GY.SY.;353;733.0;5;.6;
3610;BK.QTZOSE;8;3665.6;25;.6;XXIII
;;;5863.;40;.6;SEE P
3611;QTZITE;364;14656.;100;.6;
3612;RED GRAN;256;73300.;500;.6;
3613;BR.HAEM.;494;146.7;1;.7;SYRIA XVIII
3614;BAS.;425;146.7;1;.7;
3615;BAS.;334;293.5;2;.7;THEBES
3616;GY.SY.;321;293.5;2;.7;
3617;GY.SY.;333;733.6;5;.7;
3618;BAS.;329;733.7;5;.7;
;;;3668.5;25;.7;SEE K
3619;HAEM.;51;73.4;1/2;.8;XVIII
3620;HAEM.;368;73.4;1/2;.8;
3621;BK.JASP.;12;293.7;2;.8;
3622;BK.SY.;331;1468.1;10;.8;
3623;BAS.;422;2935.7;20;.8;
;;;3670.2;25;.8;SEE K
3624;HAEM.;49;146.9;1;.9;XVIII
3625;BR.SERP.;338;146.9;1;.9;QUFT
3626;BAS.;313;293.9;2;.9;
3627;LIM.;369;1468.6;10;.9;
3628;LIM.;674;1469.0;10;.9;
3629;BR.SY.;316;2939.0;20;.9;
3630;JADE;28;49.0;1/3;147.0;DEFENNEH
3631;BAS.;262;73.5;1/2;.0;starred
3632;HAEM.;803;73.5;1/2;.0;XVIII
3633;BAS.;275;294.1;2;.0;
3634;BAS.;373;294.1;2;.0;
3635;BAS.;203;1470.4;10;.0;
3636;GY.QTZOSE;372;2939.8;20;.0;
3637;BAS.;329;7351.;50;.0;
3638;QTZITE;358;7352.;50;.0;
3639;BAS.;333;7349.;50;.0;
3640;ALAB. rude;657;58800.;400;.0;-10
3641;BAS.;315;73520.;500;.0;-40
3642;HAEM.;12;147.1;1;.1;
3643;BAS.;262;294.2;2;.1;
3644;BAS.;336;294.2;2;.1;
3645;BAS.;252;2941.4;20;.1;
