no;material;form;grs;x;unit;detail
3765;BAS.;33;49.9;1/3;149.7;
3766;BAS.;33;299.4;2;.7;
3767;GY.SY.;373;748.5;5;.7;
3768;LIM.;428;1496.8;10;.7;
3769;GY.SY.;60;5990.;40;.7;XXIII
3770;GY.QTZOSE;315;7486.3;50;.7;
3771;QTZITE;328;7487.;50;.7;rough
3772;ALAB.;384;74.9;1/2;.8;
3773;GN.SERP.;203;149.8;1;.8;
3774;BR.MARB;32;149.8;1;.8;
3775;BAS.;429;1498.2;10;.8;
;;;374.5;5/2;.8;SEE K
3776;ALAB.;386;149.9;1;.9;
3777;BAS.;448;149.9;1;.9;
3778;BAS.;446;299.8;2;.9;
3779;BAS.;429;1499.5;10;.9;
;;;5994.;40;.9;SEE P
3780;LIM.;342;5997.;40;.9;
3781;ALAB.;436;50.0;1/3;150.0;
3782;BAS.;356;300.0;2;.0;
3783;GY.SERP.;11;600.1;4;.0;
3784;BAS.;428;750.1;5;.0;
3785;BAS.;372;1500.2;10;.0;
3785A;GN.GLZ.;696;7500.;50;.0;hieroglyph -230
3786;GY.SY.;692;15000.;100;.0;-40
3787;BAS.;426;150.1;1;.1;
3788;BAS.;12;150.1;1;.1;DEFENNEH
3789;GY.SY.;33;300.2;2;.1;
3790;GY.QTZOSE;265;75.1;1/2;.2;DEFENNEH
3791;BK.QTZOSE;235;75.1;1/2;.2;
3791A;BAS.;31;150.2;1;.2;MEM.
3792;BAS.;333;150.2;1;.2;
3793;ALAB.;627;150.3;1;.3;XVIII
3794;BAS.;424;150.3;1;.3;DEFENNEH
3795;GY.SY.;MACE;1503.5;10;.3;MEROE phi XVI
3796;BAS.;33;1503.5;10;.3;
3797;RED SY.;245;3006.2;20;.3;
3798;ALAB.;265;75.2;1/2;.4;
3799;BAS.;263;300.8;2;.4;
3800;BAS.;33;300.8;2;.4;
3801;BAS.;338;751.8;5;.4;
3802;BAS.;372;752.0;5;.4;MERNPTH
3803;BK.JASP.;57;1503.7;10;.4;XXIII
3804;GY.SY.;311;1504.4;10;.4;
3805;GY.SY.;215;15040.;100;.4;
3806;BAS.;238;150400.;1000;.4;-10
3807;GY.SY.;262;150.5;1;.5;
3808;BAS.;213;150.5;1;.5;
3809;ALAB.;262;150.5;1;.5;
3810;BAS.;344;301.0;2;.5;
3811;BAS.;427;752.5;5;.5;
3812;ALAB.;155;3010.7;20;.5;
3813;BAS.;351;6019.;40;.5;XXIII
3814;Y.RED LIM.;498;301.2;2;.6;QUFT XVIII
3815;QTZITE;356;1506.4;10;.6;
3816;SANDSTN.;337;7529.;50;.6;
3816A;GOLD;SHELL;150.7;1;.7;TA-AA SCARABS XXIII
3817;BK.SY;197;753.7;5;.7;
3818;GY.QTZOSE;11;30150.;200;.7;
3819;BAS.;335;75.4;1/2;.8;
3820;BAS.;314;753.9;5;.8;
3821;BAS.;497;754.0;5;.8;XVIII
3822;BAS.;654;754.0;5;.8;V
3823;LIM.;375;754.0;5;.8;
3824;QTZITE;27;754.2;5;.8;
3825;GY.SILIC.;262;50.3;1/3;.9;
3826;BK.SY.;446;754.4;5;.9;MEM.
