no;material;form;grs;x;unit;detail
3076;LIM.;919;542.;4;135.5;-2
3077;BAS.;33;275.1;2;137.5;
3078;BAS.;324;137.6;1;.6;
3079;BAS.;393;137.6;1;.6;
3080;DURITE;268;137.6;1;.6;
3081;GY.MARB.;32;1376.0;10;.6;
3082;GY.SERP.;373;1375.7;10;.6;
3083;BAS.;358;2752.0;20;.6;
;;;3440.1;25;.6;SEE K
3084;GY.SY.;9;6878.;50;.6;GHUROB
3085;HAEM.;422;6878.;50;.6;
3086;BK.QTZOSE;439;13761.;100;.6;
3087;BAS.;256;45.9;1/3;.7;
3088;BAS.;262;137.7;1;.7;
3089;BAS.;487;1377.0;10;.7;XVIII
3090;BAS.;406;1377.4;10;.7;
3091;BAS.;422;1376.6;10;.7;
3092;GY.QTZOSE;384;13770.;100;.7;-27
3093;BK.JASP.;364;68.9;1/2;.8;
3094;QTZITE;347;2754.5;20;.8;
;;;3445.4;25;.8;SEE K
3095;QTZITE;344;13776.;100;.8;
3096;BAS.;792;137.9;1;.9;XVIII
3097;BAS.;32;137.9;1;.9;
3098;BAS.;264;275.8;2;.9;
3099;BAS.;313;275.8;2;.9;
;;;3447.0;25;.9;SEE K
3100;DURITE;324;46.0;1/3;138.0;
3101;BAS.;380;1380.0;10;.0;
3102;BR.QTZITE;442;55200.;400;.0;cartouche -6600 HAA.AB.RA
3103;ALAB.;373;690.7;5;.1;
3104;BAS.;794;1380.7;10;.1;XVIII
3105;BAS.;141;1381.1;10;.1;
3106;BK.SY.;18;138.2;1;.2;
3107;LIM.;334;276.5;2;.2;
3108;BAS.;368;276.5;2;.2;
3109;BAS.;352;276.5;2;.2;
3110;SERP.;803;691.2;5;.2;KARNAK XVIII
3111;BAS.;356;1381.6;10;.2;
3112;BK.QTZOSE;394;2763.3;20;.2;
3113;BK.QTZOSE;55;2763.5;20;.2;
3114;BAS.;64;2764.7;20;.2;XII
3115;RED GRAN.;353;27650.;200;.2;-10
3116;GY.SY.;26;46.1;1/3;.3;
3117;Y.BK.SERP.;254;46.1;1/3;.3;
3118;BAS.;31;138.3;1;.3;
3119;ALAB.;427;691.4;5;.3;
3120;SERP.;493;691.7;5;.3;XVIII
3121;BAS.;382;1383.5;10;.3;
3122;BR.SY.;38;2766.5;20;.3;
3123;BK.SY.;40;2766.6;20;.3;
3124;BAS.;345;276.8;2;.4;
3125;LIM.;14;276.8;2;.4;KAHUN
3126;BAS.;498;692.0;5;.4;XVIII
3127;BAS.;448;692.1;5;.4;
3128;BAS.;232;1384.0;10;.4;
3129;BK.QTZOSE;54;2768.3;20;.4;XXIII
3130;BAS.;37;6919.;50;.4;
;;;20758.;150;.4;SEE B
3131;BAS.;356;277.;2;.5;-2
3132;BAS.;256;692.6;5;.5;
3133;RED GRAN.;346;69250.;500;.5;-170
3134;GY.GRAN.;356;69250.;500;.5;-10
3135;RED GRAN.;314;138500.;1000;.5;-70
3136;BK.WT.SY;334;46.2;1/3;.6;
