no;material;form;grs;x;unit;detail
3518;LIM.;57;58000.;400;145.0;KAHUN XII -900 cartouche
3519;GY.QTZOSE;264;145.1;1;.1;
3520;BAS.;346;145.1;1;.1;
3521;ALAB.;338;290.3;2;.1;
3522;BK.QTZ.;545;2902.7;20;.1;
3523;BAS.;338;48.4;1/3;.2;
3524;GY.SY.;33;48.4;1/3;.2;
3525;BAS.;328;290.4;2;.2;
3526;BAS.;202;290.4;2;.2;
3527;BK.QTZ.;369;2905.3;20;.2;
3528;BAS.;348;72600.;500;.2;
3529;BRECCIA;801;1452.6;10;.3;MERNPTH
3529A;HARD LIM.;598;1453.5;10;.3;ZET ABYD 329
3530;BAS.;33;1453.5;10;.3;
;;;3632.7;25;.3;SEE K
3531;GY.SY.;823;7266.;50;.3;
3532;GY.SY.;386;145.4;1;.4;
3533;BAS.;337;726.8;5;.4;
3534;GY.SY.;262;1453.6;10;.4;
3535;GY.SY.;33;1453.7;10;.4;
3536;BK.SY.;333;1453.8;10;.4;
3537;BK.SY.;386;291.1;2;.5;
3538;ALAB.;206;291.0;2;.5;-1.6
3539;LIM.;215;291.1;2;.5;MEM.
3540;GY.MARB.;314;582.1;4;.5;
3541;ALAB.;9154;872.8;6;.5;TARKHAN 1
3542;GY.GRAN.;264;29100.;200;.5;-8
3543;GY.SY.;33;72.8;1/2;.6;
3544;BAS.;203;145.6;1;.6;
3545;HAEM.;645;727.8;5;.6;XVIII
3546;BAS.;406;728.3;5;.6;
3547;BAS.;624;1165.0;8;.6;IIII V
3548;DIORITE;727;2911.8;20;.6;
;;;3641.0;25;.6;SEE K
3549;BAS.;263;7280.5;50;.6;
3550;BAS.;316;72830.;500;.6;-50
3551;GY.SY.;331;145.7;1;.7;
3552;LIM.;915;583.;4;.7;KAHUN -1.5 XII
3553;BK.QTZOSE;351;29150.;200;.7;-5
3554;BR.QTZITE;314;72860.;500;.7;
3555;BAS.;328;291.6;2;.8;
3556;BAS.;206;291.7;2;.8;
3557;BAS.;422;728.8;5;.8;
3558;BAS.;33;1457.8;10;.8;
3559;BAS.;33;1458.5;10;.8;
3560;HAEM.;493;291.8;2;.9;XVIII
3561;BAS.;324;291.8;2;.9;
3562;BAS.;442;291.9;2;.9;
3563;BAS.;429;1458.8;10;.9;
3564;BAS.;333;73.0;1/2;146.0;
3565;BAS.;323;73.0;1/2;.0;
3566;AMAZONITE;341;73.0;1/2;.0;THEBES
3567;LIM.;497;73.0;1/2;.0;KARNAK XVIII
3568;GY.STEA.;285;146.0;1;.0;
3569;BAS.;393;146.0;1;.0;
3570;BAS.;261;146.0;1;.0;
3571;GY.SY.;287;146.0;1;.0;
3572;BRECCIA;801;292.0;2;.0;KARNAK XVIII
3573;BAS.;312;292.0;2;.0;
3574;ALAB.;885;729.7;5;.0;THEBES XVIII
3575;LIM.;366;729.8;5;.0;
3576;GY.VOLC.;33;730.2;5;.0;
3577;BAS.;265;1460.;10;.0;?K -1.2
;;;3651.3;25;.0;SEE K
3578;RED SY.;265;146000.;1000;.0;
3579;BAS.;271;146.1;1;.1;
3580;BAS.;446;7305.7;50;.1;
3581;RED SY.;32;14610.;100;.1;
