no;material;form;grs;x;unit;detail
3389;BK.STEA.;63;71.4;1/2;142.8;XII
3390;BAS.;202;285.7;2;.8;
3391;GY.SY.;254;714.2;5;.8;
3392;ALAB.;605;1428.5;10;.8;NUBT
3393;QTZITE;329;2856.0;20;.8;MEM.
3394;BAS.;245;2856.6;20;.8;
3395;BR.QTZITE;44;71400.;500;.8;-550
3396;BAS.;442;285.9;2;.9;
3397;BK.SY.;203;1429.0;10;.9;
3398;BAS.;331;2857.6;20;.9;
;;;5715.;40;.9;SEE P
3399;GY.QTZ.;444;71.5;1/2;143.0;
3400;BRECCIA;801;1430.;10;.0;-31
3401;GY.SY.;317;2861.0;20;.0;
3402;GY.SY.;165;7152.5;50;.0;
3403;HAEM.;5;143.1;1;.1;starred
3404;GY.SY.;245;2862.2;20;.1;
;;;3577.6;25;.1;SEE K
3405;BAS.;392;286.5;2;.2;
3406;BAS.;203;715.8;5;.2;
3407;BAS.;141;2863.1;20;.2;
;;;5726.;40;.2;SEE P
3408;HAEM.;497;143.3;1;.3;XVIII
3409;ALAB.;338;286.7;2;.3;
3410;HAEM.;498;1432.6;10;.3;XVIII
3411;SY.;352;2866.0;20;.3;
3412;LIM.;842;2866.7;20;.3;
3413;BAS.;264;143.4;1;.4;
3414;BAS.;386;286.8;2;.4;
3415;BK.JASP.;19;717.2;5;.4;
3416;GY.SY.;264;143.5;1;.5;
3417;BAS.;349;143.5;1;.5;
3418;BAS.;442;287.0;2;.5;
3419;BAS.;235;5741.;40;.5;
3420;BK.GRAN.;313;28700.;200;.5;-30
3421;BR.QTZITE;264;28710.;200;.5;-7
3422;BAS.;394;71740.;500;.5;-30
3423;ALAB.;254;71.8;1/2;.6;
3424;GN.BK.LIM.;165;71.8;1/2;.6;
3425;BAS.;381;2872.7;20;.6;
;;;5745.;40;.6;SEE P
3426;GY.SY.;359;7184.;50;.6;
3427;LIM.;33;47.9;1/3;.7;
3428;BAS.;262;47.9;1/3;.7;
3429;BAS.;338;287.5;2;.7;
3430;BAS.;21;574.7;4;.7;
3431;GY.SY.;54;5749.;25;.7;KAHUN
3432;BAS.;265;143.8;1;.8;
3433;BAS.;428;143.8;1;.8;
3434;HAEM.;497;719.2;5;.8;XVII.
3435;GY.METAM.;486;1438.1;10;.8;XVIII
3436;BAS.;356;1438.4;10;.8;
3437;ALAB.;426;2875.3;20;.8;
3438;LIM.;65;2877.2;20;.8;KAHUN
3439;BK.QTZOSE;558;3596.0;25;.8;XXIII
3440;BAS.;822;28770.;200;.8;V
3441;GY.QTZOSE;265;143.9;1;.9;
3442;BAS.;324;287.8;2;.9;
3443;BAS.;406;287.8;2;.9;
3444;BK.WT.SERP;448;287.8;2;.9;
3445;LIM.;913;1439.1;10;.9;KAHUN XVIII
3446;LIM.;497;1439.4;10;.9;XVIII
3447;BK.WT.SY.;33;48.0;1/3;144.0;
3448;GY.QTZOSE;20;72.0;1/2;.0;
3449;HAEM.;486;144.0;1;.0;XVIII
3450;LIM.;498;144.0;1;.0;-.1
3451;BAS.;344;144.0;1;.0;
