no;form;now;ch;original;x;unit;detail
4915;333;258.5;14;267;2;133.5;
4916;336;270.0;2.8;267;2;;
4917;60;70.5;3.5;67;1/2;134.;SLATE
4918;60;67.3;.7;67;1/2;;ALEX.
4919;60;133.6;.9;134;1;;
4920;SNAKE HEAD;134.6;1;134;1;;phi IX
4921;256;134.9;2.9;134;1;;
4922;58;133.0;2.5;134;1;;
4923;333;132.9;3.5;134;1;;
4924;301;136.5;2.5;134;1;;
4925;BULL HEAD;134.6;.3;134.3;1;;phi IX
4926;MAN HEAD;270.8;2.3;268.5;2;;phi IX
4927;53;271.0;2.8;268;2;;RIQQEH
4928;58;540.2;12;536;4;;SMYRNA
4929;26;674.8;4.6;670;5;;
4930;265;668.0;2.;670;5;;MEM.
4931;74;268.5;0;268.5;2;134.2;delta=4 QUS
4932;52;415.0;12.;403;3;.3;III GY.STER
4933;314;263.4;11.5;269;2;.5;
4934;58;277.1;8.;269;2;.5;ALEX
4935;327;271.6;1.9;269;2;;
4936;60;543.7;6.;538;4;;
4937;338;669.7;5.6;673.5;5;.7;
4938;WOLF HEAD;1345.8;2.;1348;10;.8;HAEM T. phi
4939;BULL HEAD;1354.1;6;1348;10;.8;AMARNA phi
4940;321;44.5;1.2;45;1/3;135.;
4941;326;45.1;1.3;45;1/3;;
4942;623;135.3;.7;135;1;;
4943;927;270.4;4.5;270;2;;
4944;3255;679.3;9.5;675;5;;GHUROB
4945;265;667.8;27.;675;5;;
4946;605;677.1;1.;677;5;135.4;ASKLEPIO phi IX
4946d;9156;270.4;2.4;271;2;.5;
4947;64;17.0;0;17.0;1/8;136;
4948;575;24.3;1.6;22.7;1/6;;ALEX.
4949;60;34.0;.1;34;1/4;;
4950;60;35.1;.7;34;1/4;;
4951;63;68.5;1.2;68;1/2;;
4952;622;68.3;.4;68;1/2;;
4953;622;135.6;3.0;136;1;;
4954;262;134.8;1.5;136;1;;ALEX.
4955;58;137.0;.7;136;1;;
4956;58;274.3;2.;272;2;;
4957;58;540.8;3.1;544;4;;SMYRNA
4958;60;2041.0;17.;2040;15;;
4959;623;277.1;4.5;272.5;2;;
4960;621;33.3;1.1;34.2;1/4;136.8;
4961;57;136.5;2.5;137;1;137;QUS
4962;623;548.8;10;539;8;137.2;III H ALEX
4963;623;23.5;.5;23.;1/6;138.;
4964;254;45.6;1.2;46.;1/3;;
4965;58;67.4;3.3;69;1/2;;ALEX.
4966;SEED;69.5;.1;69;1/2;;SICILY
4967;60;140.0;2.3;138;1;;
4968;58;138.3;.3;138;1;;ALEX.
4969;622;71.1;.5;71;1/2;142.;A=1
4970;58;144.7;3.;142;1;;
4971;14;11.9;0;11.9;1/12;142.8;SMYRNA
4972;58;72.4;.7;72;1/2;144.;ALEX.
4973;60;289.0;4.5;289;2;144.5;
4973d;625;74.7;3.2;71.5;1/2;143;ALEX
4974;62;24.0;.9;24.1;1/6;144.6;
4975;60;145.0;3.7;145;1;145.;
4976;58;145.7;2.3;147;1;147.;
4977;60;12.2;.3;12.3;1/12;147.6;
