no;material;form;grs;x;unit;detail
3266;BAS.;33;281.7;2;140.8;
3267;BAS.;356;563.4;4;.8;MEM.
3268;BK.QTZ;11;2816.2;20;.8;
3269;BR.QTZITE;18;28160.;200;.8;-5
3270;ALAB.;275;140.9;1;.9;
3271;BAS.;429;704.4;5;.9;
3272;ALAB.;915;845.3;6;.9;TARKHAN
;;;3522.8;25;.9;SEE K
3273;BAS.;144;47.0;1/3;141.0;
3274;Y.BK.SERP.;197;47.0;1/3;.0;
3275;Y.LIM.;49;47.0;1/3;.0;
3276;BAS.;57;70.5;1/2;.0;
3277;JADEITE;933;70.5;1/2;.0;
3278;BAS.;258;282.0;2;.0;
3279;ALAB.;406;282.1;2;.0;
3280;LIM.;486;564.1;4;.0;
3281;BK.QTZOSE;13;705.;5;.0;-13
3282;ALAB.;264;282.2;2;.1;
3283;BK.QTZOSE;654;1410.9;10;.1;GHUROB XXII
3284;GY.SILIC.;394;2821.3;20;.1;
3285;HAEM.;429;70.6;1/2;.2;
3286;HAEM.;499;70.6;1/2;.2;
3287;HAEM.;505;70.6;1/2;.2;MERNPTH
3288;HAEM LEAD;493;282.5;2;.2;XVIII
3289;HAEM.;499;282.5;2;.2;TARTUS XVI
3290;BAS.;268;705.9;5;.2;
3291;LIM.;937;5646.6;40;.2;
3292;BAS.;312;47.1;1/3;.3;
3292A;BAS.;368;47.1;1/3;.3;MEM.
3293;GY.BAS.;393;141.3;1;.3;
3294;BAS.;418;1413.1;10;.3;
3295;ALAB.;402;1413.5;10;.3;MERNPTH
3295A;GRN.STONE;64;4238.;30;.3;ZET ABYD 121
3296;BK.SY.;458;7066.;50;.3;
3297;BAS.;267;70.7;1/2;.4;
3298;HAEM.;487;141.4;1;.4;
3299;BAS.;358;706.8;5;.4;
3300;BAS.;23;707.2;5;.4;MEM.
3301;BAS.;38;707.3;5;.4;
3302;BAS.;419;2828.8;20;.4;
3303;GY.SY.;2;2828.9;20;.4;
3304;GY.SY.;392;2829.0;20;.4;MEM.
3305;BAS.;497;5655.0;40;.4;IIII XVI
3306;BK.QTZOSE;426;141.5;1;.5;
3307;BAS.;328;707.4;5;.5;
3308;GY.SY.;11;1414.6;10;.5;
3309;BK.BAS.;316;28300.;200;.5;-17
3310;GY.GRAN.;38;28300.;200;.5;-40
3311;BAS.;313;70.8;1/2;.6;
3312;HAEM.;494;283.2;2;.6;XVI
3313;GY.SY.;442;1415.9;10;.6;-.4
3314;BAS.;331;1416.0;10;.6;
3315;BAS.;435;1416.1;10;.6;GHUROB
3316;LIM.;16;1416.3;10;.6;
3317;BAS.DRILL CAP;358;7078.;50;.6;
3318;BAS.;368;7080.;50;.6;
3319;GY.BAS.;333;35400.;250;.6;-2
3320;BR.QTZITE;261;56650.;400;.6;-80
3321;BAS.;264;283.5;2;.7;
3322;GY.QTZOSE;418;1417.4;10;.7;
3323;BK.SY.;237;7083.;50;.7;
3324;PINK GRAN.;238;28350.;200;.7;-150
3325;GY.MARB.;426;567.1;4;.8;
3325A;HAEM.;8985;708.9;5;.8;PIERCED
3326;BAS.;369;709.1;5;.8;
3327;BAS.;11;709.1;5;.8;
3328;BAS.;442;709.1;5;.8;
