no;material;form;grs;x;unit;detail
3137;ALAB.;16;69.3;1/2;138.6;
3138;BAS.;207;69.3;1/2;.6;
3139;BAS.;254;277.3;2;.6;
3140;BAS.;338;693.2;5;.6;
3141;DIORITE;646;2080.;30;.6;cartouche ABYD.XII
3142;BAS.;368;2771.1;20;.6;
3143;DURITE;267;138.7;1;.7;
3144;HAEM.;499;138.7;1;.7;XVIII
3145;DURITE;40;138.7;1;.7;
3146;BAS.;333;277.5;2;.7;
3147;HAEM.;454;138.8;1;.8;
3148;BAS.;333;138.8;1;.8;
3149;LIM.;803;1388.0;10;.8;-4
3150;BAS.;367;1388.2;10;.8;
3151;GY.SY.;419;6942.;50;.8;starred
3152;BAS.;262;138.9;1;.9;MEM.GLASS
3153;GY.QTZOSE;57;1388.9;10;.9;XXIII
3154;LIM.;426;1389.1;10;.9;JERUSALEM
3155;BAS.;39;2778.3;20;.9;
3156;BK.QTZOSE;327;69.5;1/2;139.0;
3157;HAEM.;494;69.5;1/2;.0;SMYRNA XVIII starred
3158;BK.QTZ;32;139.0;1;.0;
3159;BAS.;344;278.1;2;.0;
3160;BAS.;448;694.9;5;.0;QAU X
3160A;BK.QTZ;651;695.6;5;.0;
3161;BAS.;368;1390.0;10;.0;
3162;BAS.;402;6949.;50;.0;
3163;SY.;202;139.1;1;.1;
3164;BAS.;378;278.2;2;.1;
3165;BAS.;428;278.2;2;.1;
3166;LIM.;395;695.7;5;.1;
3167;BAS.;57;695.7;5;.1;
3168;BAS.;345;1391.5;10;.1;
;;;3478.2;25;.1;SEE K
3169;BK.BAS.;256;27820.;200;.1;-13
3170;LIM.;203;55650.;400;.1;-35
3171;BK.LIM.;;69.6;1/2;.2;
3172;DURITE;425;139.2;1;.2;
3173;BAS.;429;139.2;1;.2;
3174;ALAB.;338;695.9;5;.2;
3175;LIM.;913;2785.;20;.2;NAQ.461 -6 PRE
3176;BR.SY.;9;3480.9;25;.2;
3177;BR.SY.;439;6962.;50;.2;
3178;DURITE;64;139.3;1;.3;QU."1/2" XII
;;;1392.8;10;.3;SEE P
3179;GY.SY.;369;6964.;50;.3;
3180;BK.SY.;348;6965.;50;.3;
3181;GY.SY.;353;13932.;100;.3;
3182;LIM.;BULL;27866.;200;.3;phi XVI
3183;BR.QTZITE;426;69630.;500;.3;
3184;ALAB.;256;69.7;1/2;.4;
3185;ALAB.;78;139.4;1;.4;
3186;BAS.;312;278.9;2;.4;
3187;ALAB.;28;278.9;2;.4;
3188;GY.QTZOSE;406;1393.8;10;.4;
3189;BR.SY.;387;6969.;50;.4;
3189A;BAS.;79;46.5;1/3;.5;
3190;HAEM.;499;46.5;1/3;.5;
3191;ALAB.;262;139.5;1;.5;
3192;BAS.;63;558.2;4;.5;XII
3193;BK.BAS.;497;697.4;5;.5;XVIII
3194;ALAB.;185;1395.5;10;.5;MEM.
3195;BAS.;348;27900.;200;.5;
3196;WT.QTZITE;18;27900.;200;.5;
3197;BK.QTZOSE;312;69.8;1/2;.6;
3198;BK.BAS.;395;69.8;1/2;.6;
3199;BAS.;344;139.6;1;.6;
3200;BAS.;364;697.9;5;.6;MEM.
