no;material;form;grs;x;unit;detail
3704;BAS.;338;741.7;5;148.3;
3705;GY.SY.;363;1483.0;10;.3;
3706;BAS.;446;296.8;2;.4;
3707;BAS.;331;296.9;2;.4;
3708;ALAB.;64;593.6;4;.4;XII
3709;QTZITE;356;5939.2;40;.4;
3710;GY.SY.;262;49.5;1/3;.5;
3711;BAS.;264;49.5;1/3;.5;
3712;BK.QTZOSE;611;297.0;2;.5;XII
3713;GY.SY.;263;742.8;5;.5;-.6
3714;GY.SY.;33;297.2;2;.6;
3715;BR.LIM.;373;2971.8;20;.6;
;;;5946.0;40;.6;SEE P
3716;GY.SY.;315;148.7;1;.7;
3717;BAS.;328;74.4;1/2;.8;
3718;BAS.;165;74.4;1/2;.8;
3719;BAS.;285;148.8;1;.8;MEM.
3720;HAEM.;387;297.7;2;.8;
3721;BAS.;3255;1487.6;10;.8;
3722;PORPH.;MACE;2975.5;20;.8;
;;;3719.4;25;.8;SEE K
3723;HAEM.;493;297.8;2;.9;XVIII
3724;BAS.;11;1489.0;10;.9;
3725;QTZITE;33;14890.;100;.9;
3726;BAS.;262;74.5;1/2;149.0;
3726A;SY.;9238;149.;1;.0;-1.9
3727;BK.SY.;21;745.1;5;.0;
3728;BAS.;;1489.8;10;.0;
3729;ALAB.;256;149000.;1000;.0;-1400
3730;BAS.;350;149.1;1;.1;
3731;GY.SY.;262;149.1;1;.1;
3732;BAS.;369;745.3;5;.1;
3733;BK.SY.;338;1491.1;10;.1;
3734;BAS.;19;7453.;50;.1;phi IX
3735;CHALCEDONY;DUCK;74.6;1/2;.2;JERUSALEM
3736;BAS.;482;298.5;2;.2;MEM.
3737;GY.SY.;312;596.7;4;.2;
3738;BAS.;258;1491.7;10;.2;
;;;5967.;40;.2;SEE P -80
3739;GY.SY.;18;29850.;200;.2;
3740;BK.BAS.;346;29840.;200;.2;
3741;FLINT;9;2986.8;20;.3;
3742;BAS.;392;298.8;2;.4;
3743;GY.SY.;32;298.9;2;.4;
3744;BR.ALAB.;692;597.7;4;.4;GEBELEYN XII
3745;LIM.;344;747.?;5;.4;
3746;LIM.;642;1494.7;10;.4;IIIIIIII -V
3747;BAS.;254;2988.5;20;.4;
;;;5979.;40;.4;SEE P -90
3748;BAS.;19;7470.;50;.4;
3749;RED SY.;32;59750.;400;.4;
3750;BAS.;33;149.5;1;.5;
3751;BAS.;46;149.5;1;.5;
3752;BAS.;32;598.1;4;.5;
3753;BAS.;337;747.3;5;.5;
3754;GY.QTZOSE;422;29900.;200;.5;
3755;BAS.;442;74.8;1/2;.6;
3756;BAS.;384;74.8;1/2;.6;
3757;BK.QTZOSE;125;149.6;1;.6;
3758;HAEM.;496;299.3;2;.6;XVIII
3759;GY.SY.;295;747.8;5;.6;
3760;GY.QTZOSE;55;2991.3;20;.6;
;;;3740.0;25;.6;SEE K
3761;BAS.;382;2991.7;20;.6;
3762;LIM.;7;7479.;50;.6;
3763;BAS.;264;14958.;100;.6;
3764;BK.BAS.;326;29912.;200;.6;
