no;material;form;grs;x;unit;detail
3452;BAS.;373;288.1;2;144.0;
3453;LIM.;63;576.;4;.0;IIII -1.8
3454;HAEM.;397;719.9;5;.0;GHUROB
3455;BAS.;272;719.9;5;.0;
3456;BAS.;369;720.1;5;.0;
3457;GY.SY.;33;720.2;5;.0;
3458;GY.PORPH;245;7196.;50;.0;
3459;QTZITE.;207;14402.;100;.0;
3460;BAS.;32;144.1;1;.1;
3461;BAS.;366;288.3;2;.1;
3462;GY.QTZOSE;55;2882.3;20;.1;MERNPTH
3463;QTZITE.;382;7206.2;50;.1;
3464;LIM.;9;14415.;100;.1;
3465;BAS.;336;72.1;1/2;.2;-.3
3466;BK.STEA.;22;144.2;1;.2;
3467;BAS.;338;288.4;2;.2;
3468;BAS.;314;576.7;4;.2;
3469;BAS.;83;721.2;5;.2;MERNPTH
3470;RED SY.;345;5768.;40;.2;
3471;BAS.;254;48.1;1/3;.3;
3472;BAS.;26;144.3;1;.3;
3473;HAEM.;498;1442.8;10;.3;XVIII
3474;BAS.;265;72.2;1/2;.4;
3475;BAS.;202;72.2;1/2;.4;
3476;GY.SY.;33;72.2;1/2;.4;
3477;BK.QTZOSE;32;72.2;1/2;.4;
3478;SERP.;271;144.4;1;.4;
3479;BAS.;265;288.9;2;.4;
3480;BAS.;44;288.9;2;.4;
3481;Y.SERP.;32;721.8;5;.4;
3482;BAS.;446;722.1;5;.4;
3483;QTZITE;372;2888.4;20;.4;
3484;BAS.;653;5775.;40;.4;QUFT cartouche V
3485;GY.SY.;261;72200.;500;.4;-20
3486;BK.QTZOSE;335;289.1;2;.5;
3487;LIM.;452;722.7;5;.5;
3488;RED GRAN;256;72250.;500;.5;
3489;BK.SERP.;487;72.3;1/2;.6;
3490;BAS.;33;289.3;2;.6;
3491;GY.QTZOSE;387;1446.2;10;.6;
3492;BAS.;37;1446.4;10;.6;
3493;BAS.;314;2892.;20;.6;-6
3494;GY.SY.;317;28930.;200;.6;-3
3495;BAS.;262;289.4;2;.7;
3496;BAS.;393;289.4;2;.7;
3497;BAS.;33;1446.9;10;.7;
3498;BK.QTZOSE;82;7237.;50;.7;
3499;ALAB.;9156;144.8;1;.8;TARKHAN
3500;BK.QTZ.;496;144.8;1;.8;BORED XVIII
3501;GY.SY.;33;723.9;5;.8;
3502;HAEM.;498;1447.7;10;.8;phi IX. XVIII
3503;BAS.;245;2896.4;20;.8;
;;;3621.4;25;.8;SEE K
3504;QTZITE.;315;14484.;100;.8;
3505;ALAB.;314;48.3;1/3;.9;
3506;SERP.;23;144.9;1;.9;
3507;BAS.;315;289.8;2;.9;
3508;GY.QTZOSE;265;289.8;2;.9;
3509;BAS.;324;289.9;2;.9;
3510;BK.QTZ;879;724.8;5;.9;XXIII
3511;BK.QTZOSE;702;1449.0;10;.9;V
3512;QTZITE;82;14489.;100;.9;
3513;GY.QTZOSE;352;72450.;500;.9;-20
3514;GN.LIM.;265;72.5;1/2;145.0;
3515;RED HAEM.;81;290.0;2;.0;XVIII
3516;BAS.;397;290.1;2;.0;MEM.GLASS
3517;BAS.;10;2899.6;20;.0;
