no;form;now;ch;original;x;unit;detail
5017;262;293.3;7.;286;2;143.;
5018;33;145.5;2.4;143;1;;
5019;344;713.6;4.;716;5;.2;
d;364;283.5;3.5;287;2;.5;
5020;312;287.0;6.;287;2;;
5021;338;287.7;2.;287;2;;1
d;344;287.8;5.;287;2;;
d;335;721.2;3.;718;5;.6;
5022;23;72.2;.2;72;1/2;144.;
5023;336;72.9;1.;72;1/2;;
5024;338;138.5;8.;144;1;;
d;338;145.0;3.6;144;1;;
d;338;146.7;4.6;144;1;;
d;33;150.8;7.;144;1;;
d;338;287.4;5.;288;2;;
d;338;723.0;1.;722;5;.4;
5025;344;283.2;6.;289;2;.5;
d;338;288.0;5.;289;2;;
d;338;300.0;19.;289;2;;
d;265;293.8;9.;289;2;;
d;262;742.1;18.;724;5;.8;
5026;57;144.5;.5;145;1;145.;LEAD ALEX
d;338;150.7;5.6;145;1;;
5027;63;144.3;1.9;145;1;;
d;312;290.2;4.;290;2;;
d;324;715.6;9.;725;5;;
5028;366;293.5;10.7;290.7;2;.3;MEM. SET OF 4
d;324;730.6;3.;727;5;.4;
d;333;292.5;2.;291;2;.5;
5029;337;293.7;3.;291;2;;MERENPTH
5030;BULL HEAD;302.7;11.;291;2;;GHUROB
d;338;725.4;4.5;728;5;.6;
5031;265;731.6;3.;729;5;.8;
d;335;73.1;3.;73;1/2;146.;
d;338;145.6;2.;146;1;;
5032;353;147.1;3.;146;1;;
5033;36;292.5;14.;292;2;;
d;364;298.8;7.;292;2;;
5034;306;1474.6;14.;1460;10;;phi IX
5035;338;725.4;5.5;730;5;;
5036;337;729.6;4.;730;5;;
5037;324;710.8;20.;730;5;;
5038;337;1475.8;12.;1464.;10;.4;
d;364;288.8;4.;293;2;.5;
5039;33;292.6;2.;293;2;;
d;366;277.3;12.;293;2;;
5040;339;304.3;23.;293;2;;
d;338;735.5;8.;733;5;.6;
5041;338;734.2;5.;733;5;;
5042;333;734.4;5.;733;5;;
d;33;147.4;.6;147;1;147.0;
5043;36;295.6;2.;294;2;;QUS
5044;304;693.5;46.;735;5;;ABYD.DEN glyph
d;324;742.0;9.;735;5;;
5045;838;1471.2;6.;1470;10;;
5046;45;150.5;11.;147.4;1;.4;MEM. SET OF 4
d;333;293.5;14.;295;2;.5;
5047;354;590.4;0;590;4;;
5048;494;739.2;11.;738;5;.6;SYRIA
5049;337;1495.2;24.;1476;10;;MEM. SET OF 4
5050;DOVE;74.3;.6;74;1/2;148.0;phi IX
5051;623;74.7;3.7;74;1/2;;LEAD
5052;623;146.8;3.5;148;1;;LEAD
d;335;149.3;3.;148;1;;
d;335;150.5;2.;148;1;;
