no;material;form;grs;x;unit;detail
3329;BR.SY.;378;1418.5;10;141.8;
3330;LIM.;498;1418.3;10;.8;KARNAK XVIII
3331;GY.QTZOSE;10;3545.8;25;.8;XXIII
3332;BK.QTZOSE;17;141.9;1;.9;XVIII
3333;GN.MARB;692;283.9;2;.9;QUFT XII
3334;BK.SY.;422;709.5;5;.9;
3335;BR.FLINT;428;709.6;5;.9;
3336;BR.SERP.;655;1418.8;10;.9;
3337;SY.;256;2839.0;20;.9;
3337A;BAS.;331;71.0;1/2;142.0;starred
3338;LIM.;33;284.0;2;.0;
3339;BAS.;393;284.1;2;.0;
3340;BAS.;358;710.1;5;.0;
3341;GY.SY.;406;710.1;5;.0;
3342;ALAB.;358;1419.7;10;.0;
;;;3549.0;25;.0;SEE K
;;;3549.6;25;.0;SEE K ditto
3343;PINK LIM.;653;5680.;40;.0;QUFT cartouche
3344;SANDST.;629;7102.;50;.0;XII
3345;BAS.;436;7102.;50;.0;
3346;HAEM.;494;710.7;5;.1;XVIII
3347;ALAB.;649;5683.;40;.1;GHUROB XVIII
3347A;ALAB.;311;23.7;1/6;.2;MEM.
3348;BAS.;263;47.4;1/3;.2;
3349;ALAB.;397;71.1;1/2;.2;
3350;GY.QTZ.;426;71.1;1/2;.2;
3351;BAS.;426;142.2;1;.2;
3352;ALAB.;265;284.5;2;.2;
3353;BAS.;324;284.5;2;.2;
3354;BAS.;225;710.8;5;.2;
3355;BK.JASP.;126;711.1;5;.2;
3356;BAS.;262;711.2;5;.2;
3357;BAS.;20;1422.5;10;.2;
3358;LIM.;265;2843.5;20;.2;
;;;5686.5;40;.2;SEE P
3359;ALAB.;801;284.6;2;.3;GHUROB XVIII
3360;BK.SY.;2;1422.8;10;.3;
3360A;HARD LIM.;597;1423.5;10;.3;ZET.ABYD.329
3361;BK.SY.;333;7113.7;50;.3;
3362;GY.QTZOSE;315;7116.;50;.3;
3363;GY.SY.;642;71.2;1/2;.4;V
3364;BK.BAS.;287;142.4;1;.4;
3365;ALAB.;428;142.4;1;.4;
3365A;ALAB.;797;3560.6;25;.4;
3366;BK.QTZOSE;25;7120.;50;.4;
3367;ALAB.;23;47.5;1/3;.5;
3368;BAS.;264;142.5;1;.5;MERNPTH
3369;GY.SY.;245;1425.2;10;.5;
3370;FLINT;54;3563.2;25;.5;XXIII
3371;HAEM.;524;7126.;50;.5;XVIII
3372;BAS.;33;71.3;1/2;.6;
3373;BAS.;232;71.3;1/2;.6;
3374;BAS.;402;285.2;2;.6;
3375;GY.SY.;422;285.2;2;.6;
3376;BAS.;311;285.3;2;.6;
3377;BAS.;350;713.0;5;.6;
3378;BAS.;328;713.1;5;.6;
3379;BK.GY.LIM.;23;1425.7;10;.6;
3380;GY.QTZOSE;653;2852.2;20;.6;RIQQEH XII
3381;BK.QTZOSE;55;2852.4;20;.6;XXIII
3382;GY.QTZOSE;351;71310.;500;.6;-20
3383;BAS.;268;142.7;1;.7;
3384;BAS.;339;285.4;2;.7;
3385;HAEM.;887;713.4;5;.7;XVIII
3386;BAS.;207;1426.8;10;.7;
3387;BR.QTZOSE;821;2855.4;20;.7;
3388;BK.QTZOSE;558;3567.1;25;.7;XXIII
